Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,col,iptg,sal,dnaseI,growth,weight,lysate_vol,dilution,rep,ChanStr
sybr,50,71,0.01972222222222222,A12,6716,AFU,487,528,JS006,1,0,0,2,1,190,570,10,1,sybr50487528
sybr,50,71,0.01972222222222222,B1,7372,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,2,sybr50487528
sybr,50,71,0.01972222222222222,B2,7249,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,2,sybr50487528
sybr,50,71,0.01972222222222222,B3,7402,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,2,sybr50487528
sybr,50,71,0.01972222222222222,B4,7227,AFU,487,528,split pir 2x bxb1,1,0,0,0,1,180,540,10,2,sybr50487528
sybr,50,71,0.01972222222222222,B5,7100,AFU,487,528,split pir 2x bxb1,2,0,0,0,1,180,540,10,2,sybr50487528
sybr,50,71,0.01972222222222222,B6,7271,AFU,487,528,split pir 2x bxb1,3,0,0,0,1,190,570,10,2,sybr50487528
sybr,50,71,0.01972222222222222,B7,7264,AFU,487,528,split pir 2x bxb1,1,10,20,0,2,80,240,10,2,sybr50487528
sybr,50,71,0.01972222222222222,B8,6804,AFU,487,528,split pir 2x bxb1,2,10,20,0,2,170,510,10,2,sybr50487528
sybr,50,71,0.01972222222222222,B9,7183,AFU,487,528,split pir 2x bxb1,3,10,20,0,2,50,150,10,2,sybr50487528
sybr,50,71,0.01972222222222222,B10,7060,AFU,487,528,JS006,1,0,0,0,1,190,570,10,2,sybr50487528
sybr,50,71,0.01972222222222222,B11,6955,AFU,487,528,JS006,1,0,0,1,1,190,570,10,2,sybr50487528
sybr,50,71,0.01972222222222222,B12,6713,AFU,487,528,JS006,1,0,0,2,1,190,570,10,2,sybr50487528
sybr,50,71,0.01972222222222222,C1,7212,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,3,sybr50487528
sybr,50,71,0.01972222222222222,C2,7115,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,3,sybr50487528
sybr,50,71,0.01972222222222222,C3,7225,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,3,sybr50487528
sybr,50,71,0.01972222222222222,C4,7227,AFU,487,528,split pir 2x bxb1,1,0,0,0,1,180,540,10,3,sybr50487528
sybr,50,71,0.01972222222222222,C5,7036,AFU,487,528,split pir 2x bxb1,2,0,0,0,1,180,540,10,3,sybr50487528
sybr,50,71,0.01972222222222222,C6,7368,AFU,487,528,split pir 2x bxb1,3,0,0,0,1,190,570,10,3,sybr50487528
sybr,50,71,0.01972222222222222,C7,7195,AFU,487,528,split pir 2x bxb1,1,10,20,0,2,80,240,10,3,sybr50487528
sybr,50,71,0.01972222222222222,C8,6629,AFU,487,528,split pir 2x bxb1,2,10,20,0,2,170,510,10,3,sybr50487528
sybr,50,71,0.01972222222222222,C9,7184,AFU,487,528,split pir 2x bxb1,3,10,20,0,2,50,150,10,3,sybr50487528
sybr,50,71,0.01972222222222222,C10,7127,AFU,487,528,JS006,1,0,0,0,1,190,570,10,3,sybr50487528
sybr,50,71,0.01972222222222222,C11,6921,AFU,487,528,JS006,1,0,0,1,1,190,570,10,3,sybr50487528
sybr,50,71,0.01972222222222222,C12,6671,AFU,487,528,JS006,1,0,0,2,1,190,570,10,3,sybr50487528
sybr,50,131,0.03638888888888889,A1,7021,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,1,sybr50487528
sybr,50,131,0.03638888888888889,A2,6954,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,1,sybr50487528
sybr,50,131,0.03638888888888889,A3,7177,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,1,sybr50487528
sybr,50,131,0.03638888888888889,A4,7270,AFU,487,528,split pir 2x bxb1,1,0,0,0,1,180,540,10,1,sybr50487528
sybr,50,131,0.03638888888888889,A5,7077,AFU,487,528,split pir 2x bxb1,2,0,0,0,1,180,540,10,1,sybr50487528
sybr,50,131,0.03638888888888889,A6,7332,AFU,487,528,split pir 2x bxb1,3,0,0,0,1,190,570,10,1,sybr50487528
sybr,50,131,0.03638888888888889,A7,7126,AFU,487,528,split pir 2x bxb1,1,10,20,0,2,80,240,10,1,sybr50487528
sybr,50,131,0.03638888888888889,A8,6704,AFU,487,528,split pir 2x bxb1,2,10,20,0,2,170,510,10,1,sybr50487528
sybr,50,131,0.03638888888888889,A9,7167,AFU,487,528,split pir 2x bxb1,3,10,20,0,2,50,150,10,1,sybr50487528
sybr,50,131,0.03638888888888889,A10,7063,AFU,487,528,JS006,1,0,0,0,1,190,570,10,1,sybr50487528
sybr,50,131,0.03638888888888889,A11,6843,AFU,487,528,JS006,1,0,0,1,1,190,570,10,1,sybr50487528
sybr,50,131,0.03638888888888889,A12,6579,AFU,487,528,JS006,1,0,0,2,1,190,570,10,1,sybr50487528
sybr,50,131,0.03638888888888889,B1,7260,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,2,sybr50487528
sybr,50,131,0.03638888888888889,B2,7150,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,2,sybr50487528
sybr,50,131,0.03638888888888889,B3,7354,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,2,sybr50487528
sybr,50,131,0.03638888888888889,B4,7236,AFU,487,528,split pir 2x bxb1,1,0,0,0,1,180,540,10,2,sybr50487528
sybr,50,131,0.03638888888888889,B5,7059,AFU,487,528,split pir 2x bxb1,2,0,0,0,1,180,540,10,2,sybr50487528
sybr,50,131,0.03638888888888889,B6,7285,AFU,487,528,split pir 2x bxb1,3,0,0,0,1,190,570,10,2,sybr50487528
sybr,50,131,0.03638888888888889,B7,7254,AFU,487,528,split pir 2x bxb1,1,10,20,0,2,80,240,10,2,sybr50487528
sybr,50,131,0.03638888888888889,B8,6707,AFU,487,528,split pir 2x bxb1,2,10,20,0,2,170,510,10,2,sybr50487528
sybr,50,131,0.03638888888888889,B9,7169,AFU,487,528,split pir 2x bxb1,3,10,20,0,2,50,150,10,2,sybr50487528
sybr,50,131,0.03638888888888889,B10,7102,AFU,487,528,JS006,1,0,0,0,1,190,570,10,2,sybr50487528
sybr,50,131,0.03638888888888889,B11,6864,AFU,487,528,JS006,1,0,0,1,1,190,570,10,2,sybr50487528
sybr,50,131,0.03638888888888889,B12,6621,AFU,487,528,JS006,1,0,0,2,1,190,570,10,2,sybr50487528
sybr,50,131,0.03638888888888889,C1,7173,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,3,sybr50487528
sybr,50,131,0.03638888888888889,C2,6993,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,3,sybr50487528
sybr,50,131,0.03638888888888889,C3,7133,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,3,sybr50487528
sybr,50,131,0.03638888888888889,C4,7210,AFU,487,528,split pir 2x bxb1,1,0,0,0,1,180,540,10,3,sybr50487528
sybr,50,131,0.03638888888888889,C5,7017,AFU,487,528,split pir 2x bxb1,2,0,0,0,1,180,540,10,3,sybr50487528
sybr,50,131,0.03638888888888889,C6,7349,AFU,487,528,split pir 2x bxb1,3,0,0,0,1,190,570,10,3,sybr50487528
sybr,50,131,0.03638888888888889,C7,7159,AFU,487,528,split pir 2x bxb1,1,10,20,0,2,80,240,10,3,sybr50487528
sybr,50,131,0.03638888888888889,C8,6562,AFU,487,528,split pir 2x bxb1,2,10,20,0,2,170,510,10,3,sybr50487528
sybr,50,131,0.03638888888888889,C9,7140,AFU,487,528,split pir 2x bxb1,3,10,20,0,2,50,150,10,3,sybr50487528
sybr,50,131,0.03638888888888889,C10,7130,AFU,487,528,JS006,1,0,0,0,1,190,570,10,3,sybr50487528
sybr,50,131,0.03638888888888889,C11,6832,AFU,487,528,JS006,1,0,0,1,1,190,570,10,3,sybr50487528
sybr,50,131,0.03638888888888889,C12,6520,AFU,487,528,JS006,1,0,0,2,1,190,570,10,3,sybr50487528
sybr,50,191,0.05305555555555556,A1,6872,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,1,sybr50487528
sybr,50,191,0.05305555555555556,A2,6819,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,1,sybr50487528
sybr,50,191,0.05305555555555556,A3,7041,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,1,sybr50487528
sybr,50,191,0.05305555555555556,A4,7222,AFU,487,528,split pir 2x bxb1,1,0,0,0,1,180,540,10,1,sybr50487528
sybr,50,191,0.05305555555555556,A5,7024,AFU,487,528,split pir 2x bxb1,2,0,0,0,1,180,540,10,1,sybr50487528
sybr,50,191,0.05305555555555556,A6,7296,AFU,487,528,split pir 2x bxb1,3,0,0,0,1,190,570,10,1,sybr50487528
sybr,50,191,0.05305555555555556,A7,7083,AFU,487,528,split pir 2x bxb1,1,10,20,0,2,80,240,10,1,sybr50487528
sybr,50,191,0.05305555555555556,A8,6623,AFU,487,528,split pir 2x bxb1,2,10,20,0,2,170,510,10,1,sybr50487528
sybr,50,191,0.05305555555555556,A9,7129,AFU,487,528,split pir 2x bxb1,3,10,20,0,2,50,150,10,1,sybr50487528
sybr,50,191,0.05305555555555556,A10,7020,AFU,487,528,JS006,1,0,0,0,1,190,570,10,1,sybr50487528
sybr,50,191,0.05305555555555556,A11,6777,AFU,487,528,JS006,1,0,0,1,1,190,570,10,1,sybr50487528
sybr,50,191,0.05305555555555556,A12,6491,AFU,487,528,JS006,1,0,0,2,1,190,570,10,1,sybr50487528
sybr,50,191,0.05305555555555556,B1,7196,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,2,sybr50487528
sybr,50,191,0.05305555555555556,B2,7052,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,2,sybr50487528
sybr,50,191,0.05305555555555556,B3,7299,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,2,sybr50487528
sybr,50,191,0.05305555555555556,B4,7216,AFU,487,528,split pir 2x bxb1,1,0,0,0,1,180,540,10,2,sybr50487528
sybr,50,191,0.05305555555555556,B5,7049,AFU,487,528,split pir 2x bxb1,2,0,0,0,1,180,540,10,2,sybr50487528
sybr,50,191,0.05305555555555556,B6,7268,AFU,487,528,split pir 2x bxb1,3,0,0,0,1,190,570,10,2,sybr50487528
sybr,50,191,0.05305555555555556,B7,7198,AFU,487,528,split pir 2x bxb1,1,10,20,0,2,80,240,10,2,sybr50487528
sybr,50,191,0.05305555555555556,B8,6659,AFU,487,528,split pir 2x bxb1,2,10,20,0,2,170,510,10,2,sybr50487528
sybr,50,191,0.05305555555555556,B9,7096,AFU,487,528,split pir 2x bxb1,3,10,20,0,2,50,150,10,2,sybr50487528
