Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,col,iptg,sal,dnaseI,growth,rep,ChanStr
sybr,50,191,0.05305555555555556,A12,6204,AFU,487,528,JS006,1,0,0,2,1,1,sybr50487528
sybr,50,191,0.05305555555555556,B8,6769,AFU,487,528,JS006,1,0,0,0,1,2,sybr50487528
sybr,50,191,0.05305555555555556,B9,6780,AFU,487,528,JS006,1,0,0,0.25,1,2,sybr50487528
sybr,50,191,0.05305555555555556,B10,6713,AFU,487,528,JS006,1,0,0,0.5,1,2,sybr50487528
sybr,50,191,0.05305555555555556,B11,6627,AFU,487,528,JS006,1,0,0,1,1,2,sybr50487528
sybr,50,191,0.05305555555555556,B12,6318,AFU,487,528,JS006,1,0,0,2,1,2,sybr50487528
sybr,50,191,0.05305555555555556,C8,6831,AFU,487,528,JS006,1,0,0,0,1,3,sybr50487528
sybr,50,191,0.05305555555555556,C9,6734,AFU,487,528,JS006,1,0,0,0.25,1,3,sybr50487528
sybr,50,191,0.05305555555555556,C10,6758,AFU,487,528,JS006,1,0,0,0.5,1,3,sybr50487528
sybr,50,191,0.05305555555555556,C11,6633,AFU,487,528,JS006,1,0,0,1,1,3,sybr50487528
sybr,50,191,0.05305555555555556,C12,6322,AFU,487,528,JS006,1,0,0,2,1,3,sybr50487528
sybr,50,251,0.06972222222222223,A8,6673,AFU,487,528,JS006,1,0,0,0,1,1,sybr50487528
sybr,50,251,0.06972222222222223,A9,6652,AFU,487,528,JS006,1,0,0,0.25,1,1,sybr50487528
sybr,50,251,0.06972222222222223,A10,6582,AFU,487,528,JS006,1,0,0,0.5,1,1,sybr50487528
sybr,50,251,0.06972222222222223,A11,6447,AFU,487,528,JS006,1,0,0,1,1,1,sybr50487528
sybr,50,251,0.06972222222222223,A12,6133,AFU,487,528,JS006,1,0,0,2,1,1,sybr50487528
sybr,50,251,0.06972222222222223,B8,6755,AFU,487,528,JS006,1,0,0,0,1,2,sybr50487528
sybr,50,251,0.06972222222222223,B9,6759,AFU,487,528,JS006,1,0,0,0.25,1,2,sybr50487528
sybr,50,251,0.06972222222222223,B10,6680,AFU,487,528,JS006,1,0,0,0.5,1,2,sybr50487528
sybr,50,251,0.06972222222222223,B11,6592,AFU,487,528,JS006,1,0,0,1,1,2,sybr50487528
sybr,50,251,0.06972222222222223,B12,6233,AFU,487,528,JS006,1,0,0,2,1,2,sybr50487528
sybr,50,251,0.06972222222222223,C8,6815,AFU,487,528,JS006,1,0,0,0,1,3,sybr50487528
sybr,50,251,0.06972222222222223,C9,6733,AFU,487,528,JS006,1,0,0,0.25,1,3,sybr50487528
sybr,50,251,0.06972222222222223,C10,6709,AFU,487,528,JS006,1,0,0,0.5,1,3,sybr50487528
sybr,50,251,0.06972222222222223,C11,6572,AFU,487,528,JS006,1,0,0,1,1,3,sybr50487528
sybr,50,251,0.06972222222222223,C12,6229,AFU,487,528,JS006,1,0,0,2,1,3,sybr50487528
sybr,50,311,0.08638888888888889,A8,6624,AFU,487,528,JS006,1,0,0,0,1,1,sybr50487528
sybr,50,311,0.08638888888888889,A9,6618,AFU,487,528,JS006,1,0,0,0.25,1,1,sybr50487528
sybr,50,311,0.08638888888888889,A10,6561,AFU,487,528,JS006,1,0,0,0.5,1,1,sybr50487528
sybr,50,311,0.08638888888888889,A11,6375,AFU,487,528,JS006,1,0,0,1,1,1,sybr50487528
sybr,50,311,0.08638888888888889,A12,6050,AFU,487,528,JS006,1,0,0,2,1,1,sybr50487528
sybr,50,311,0.08638888888888889,B8,6724,AFU,487,528,JS006,1,0,0,0,1,2,sybr50487528
sybr,50,311,0.08638888888888889,B9,6726,AFU,487,528,JS006,1,0,0,0.25,1,2,sybr50487528
sybr,50,311,0.08638888888888889,B10,6617,AFU,487,528,JS006,1,0,0,0.5,1,2,sybr50487528
sybr,50,311,0.08638888888888889,B11,6511,AFU,487,528,JS006,1,0,0,1,1,2,sybr50487528
