well,Plate,Cells | Freq. of Parent (%),mScarlet-/GFP+_percent,mScarlet-/GFP+_Geometric Mean (GFP),mScarlet-/GFP+_Geometric Mean (mScarlet),mScarlet+/GFP+_percent,mScarlet+/GFP+_Geometric Mean (GFP),mScarlet+/GFP+_Geometric Mean (mScarlet),mScarlet+/GFP-_percent,mScarlet+/GFP-_Geometric Mean (GFP),mScarlet+/GFP-_Geometric Mean (mScarlet),mScarlet-/GFP-_percent,mScarlet-/GFP-_Geometric Mean (GFP),mScarlet-/GFP-_Geometric Mean (mScarlet)
D2,3,48.7,52.4,71496,366,37.7,58477,4410,6.25,1037,9067,3.59,1004,275
D3,3,38.6,78.6,62699,235,12,51576,4493,1.94,1324,8488,7.43,1179,215
D4,3,45,80.3,105914,210,0.29,96525,3288,0.028,1822,6711,19.3,222,199
D5,3,42.7,78.4,105967,213,0.68,81951,3800,0.087,1170,6672,20.9,224,203
D6,3,44.8,78.9,107534,213,0.63,84111,4139,0.031,948,8144,20.5,232,199
D7,3,49.1,27.9,47104,301,51.9,56223,7466,12.5,1140,9428,7.73,1113,280
D8,3,46.5,28.9,47815,293,52.6,56960,7541,11.2,1152,10028,7.3,1077,291
D9,3,40.1,62.4,43274,250,18,48052,5229,4.37,1259,8205,15.2,1223,231
D10,3,42,67.7,61153,209,0.82,91496,5924,0.18,715,4989,31.3,496,203
D11,3,40.7,66.7,64388,213,1.22,91604,4903,0.25,814,4375,31.8,484,203
D12,3,44.8,65.2,60962,213,0.93,80839,5173,0.4,690,4542,33.5,577,203
E1,3,52,0.093,19134,288,0.076,13429,11345,94.2,735,10754,5.66,875,465
E2,3,45.9,0.057,15966,250,0.078,19378,9395,93.2,716,10078,6.7,851,444
E3,3,49.9,0.85,7194,461,0.47,9188,6378,57.9,913,4344,40.7,934,422
E4,3,49.4,0.98,7069,525,0.38,8312,2818,9.95,698,3167,88.7,819,289
E5,3,45.8,0.69,7152,518,0.42,8515,5084,27.9,818,3437,71,830,382
E6,3,50.4,0.65,6917,500,0.33,8105,5165,31.8,835,3205,67.3,837,418
E7,3,48.2,0.065,7611,390,0.1,13040,7729,96,736,8363,3.85,816,524
E8,3,46.1,0.056,15622,475,0.066,17193,10420,96.1,746,8500,3.78,812,531
E9,3,50.1,0.52,6806,509,0.44,8478,6844,59.4,901,3803,39.7,862,466
E10,3,46.6,0.62,6344,496,0.36,8221,4465,27.7,797,3345,71.3,812,422
E11,3,42.7,0.56,6478,532,0.49,8095,6602,43.3,867,3232,55.7,838,467
E12,3,49.1,0.57,6501,502,0.48,8570,7408,42.1,895,3342,56.8,904,456
F1,3,46.2,3.02,29882,426,17.5,23217,8887,73.6,808,11033,5.87,868,462
F2,3,48.7,0.74,32022,467,27.4,24776,9353,70.7,822,11029,1.22,736,561
F3,3,42.4,4.9,18208,518,17.3,18865,4793,59.8,1109,5457,18,1069,484
F4,3,45.5,26.5,20713,413,9.54,25122,3313,16.8,976,4447,47.2,1001,373
F5,3,50.9,24.1,20574,428,10.4,24013,3182,20.6,1013,4011,44.9,1034,384
F6,3,42.5,26,21092,406,8.67,25035,3092,17.2,963,3831,48,1016,364
F7,3,51.4,0.96,31466,456,16.7,26408,8377,78.9,798,8667,3.4,792,545
F8,3,39.7,1.12,29933,433,19.1,27103,8808,76.5,785,8951,3.27,740,538
F9,3,50.5,5.9,17065,485,8.05,19965,4297,50,932,4245,36,914,441
F10,3,44.5,30.7,19084,379,6.8,24889,3254,10.9,898,3304,51.6,963,357
F11,3,45.9,19.5,18062,437,11.3,21850,3633,23.5,955,3596,45.8,979,401
F12,3,40.5,26.1,19406,433,13.2,22683,3665,19.8,1020,3737,40.9,1022,399
G1,3,51.6,5.53,41786,584,56.6,32173,7317,35.1,963,10661,2.77,896,494
G2,3,36.8,4.37,40777,583,59.2,32631,7115,34.1,992,10002,2.34,872,502
G3,3,48.4,32.4,30163,435,27.4,26202,3941,21.5,1132,5617,18.7,1148,348
G4,3,44.5,80.6,49132,312,5.52,56569,2628,1.61,711,3438,12.2,855,271
G5,3,37.4,86.6,48506,301,4.65,58565,2733,1.02,847,3621,7.68,941,276
G6,3,46.9,80.3,50923,308,5.2,60502,2466,1.5,714,3109,13,860,265
G7,3,43.3,7.1,27769,506,38.4,30320,6593,44.8,831,7489,9.64,773,477
G8,3,40.5,7.36,29996,501,45.9,31457,6821,39.1,921,7919,7.62,839,471
G9,3,51.5,29.6,21151,375,19.2,23242,4036,21.2,1060,4645,30.1,1092,338
G10,3,40,69.5,39412,303,6.62,81961,3353,1.71,643,3098,22.2,881,270
G11,3,50.4,61.8,34205,305,7.06,62999,3170,3.12,953,2758,28,1018,270
G12,3,42.9,59.6,30793,314,8.91,47029,3407,4.34,1002,3512,27.2,1086,271
H1,3,40.4,45.3,47225,281,6.91,37082,4664,45.6,315,12230,2.23,1113,241
H2,3,46.7,41.4,47179,295,6.42,37541,4349,49.8,326,12359,2.33,1086,262
H3,3,39.2,8.31,45358,389,2.2,37409,3526,88.9,494,12506,0.63,729,231
H4,3,30,46.8,38528,329,7.23,12807,5885,11.3,3141,13378,34.7,827,251
H5,3,31,35.3,47020,322,10.7,8929,14743,27.7,3473,28479,26.3,821,242
H6,3,33.1,38.5,21986,356,13.6,7719,15940,22.7,3612,26274,25.2,1285,293
H7,3,45.7,22.7,36600,365,20,45538,4507,52,478,14132,5.35,1294,297
H8,3,43.3,29.7,36277,353,24.8,48029,4609,38.1,525,13080,7.45,1227,275
H9,3,37.6,12.4,40705,377,6.4,58305,3634,78.7,505,14792,2.51,1078,276
H10,3,34.2,23.4,46000,435,28.2,43479,4142,9.76,831,3189,38.7,378,265
H11,3,33,24.7,40759,432,19,43637,3077,7.91,925,4263,48.5,461,277
H12,3,33.1,22.8,37895,465,26.3,45550,3344,10.2,958,3770,40.7,477,308
