well,Plate,Cells | Freq. of Parent (%),mScarlet-/GFP+_percent,mScarlet-/GFP+_Geometric Mean (GFP),mScarlet-/GFP+_Geometric Mean (mScarlet),mScarlet+/GFP+_percent,mScarlet+/GFP+_Geometric Mean (GFP),mScarlet+/GFP+_Geometric Mean (mScarlet),mScarlet+/GFP-_percent,mScarlet+/GFP-_Geometric Mean (GFP),mScarlet+/GFP-_Geometric Mean (mScarlet),mScarlet-/GFP-_percent,mScarlet-/GFP-_Geometric Mean (GFP),mScarlet-/GFP-_Geometric Mean (mScarlet)
A1,3,47.1,0.17,78599,323,0.31,43831,9350,97,610,18483,2.56,594,318
A2,3,46.9,0.014,37748,321,0.036,9017,9431,96.7,657,17178,3.25,609,277
A3,3,35.7,0.038,11564,429,0.18,9963,20128,79.3,1118,8428,20.5,992,266
A4,3,29.1,0.13,8016,286,0.21,9431,15354,33.9,1204,8223,65.8,1056,224
A5,3,26.7,0.093,13141,235,0.13,9606,8701,48.9,1101,8473,50.8,982,251
A6,3,26.4,0.085,20931,376,0.13,8232,25362,51.2,1080,8343,48.6,956,215
A7,3,42.5,5.09E-03,9799,86.8,0.036,8059,21420,97.3,706,16072,2.62,555,233
A8,3,43.2,0.01,33052,528,0.021,31943,7813,97,682,15872,2.94,580,226
A9,3,26,0.012,7748,123,0.098,8532,32383,83.6,1022,9755,16.3,890,223
A10,3,14.2,0.14,7244,258,0.22,8682,31314,38.8,1219,15044,60.8,1006,196
A11,3,24.5,0.066,8798,203,0.16,6870,40280,68.9,1238,21888,30.8,1007,177
A12,3,22.9,0.091,6456,126,0.2,7735,51311,48.1,1212,28605,51.6,947,166
B1,3,44.6,0.29,26802,356,15.7,28272,14432,82.2,780,17755,1.77,619,286
B2,3,42.4,0.74,34496,336,19.1,30449,12519,77.1,755,16033,3.05,642,274
B3,3,35.2,3.72,25182,281,9.49,25521,7046,60.7,1092,8324,26.1,995,266
B4,3,31.3,15.8,28193,217,8.47,28709,8239,23.5,1114,8822,52.2,962,208
B5,3,28.1,14,28804,226,13.5,27439,7247,33.2,1173,8470,39.3,1028,229
B6,3,30.5,12.7,28016,214,11.7,27686,8558,33,1123,9050,42.6,1024,208
B7,3,43.1,0.32,27709,220,12.5,34374,16308,83.8,770,15269,3.42,626,248
B8,3,44.2,0.44,37500,223,18,33560,15518,79,733,15385,2.56,577,232
B9,3,30.3,3.06,28289,209,14.1,27946,9494,66.5,1122,9974,16.4,1000,225
B10,3,22.1,25.5,32072,206,17.8,33651,13524,19.4,1263,13761,37.3,1058,200
B11,3,25.4,18.9,29490,194,27.4,30328,13479,28.8,1222,15451,24.9,1065,198
B12,3,28.2,22.7,28780,194,27,31339,15609,24.8,1261,18373,25.5,1066,194
C1,3,47.2,3.66,46413,416,50.3,37869,9152,43.3,927,13335,2.78,773,330
C2,3,41.4,6.53,45940,409,52.3,40666,8338,37.2,943,12619,3.89,812,326
C3,3,39.9,24.2,33220,276,28.3,31816,6095,25.2,1221,8060,22.3,1123,253
C4,3,38.1,66.1,43316,228,8.66,40172,5557,3.06,1420,8827,22.2,1290,218
C5,3,41.7,54.2,46368,231,19.6,40627,6080,7.14,1385,8883,19,1242,221
C6,3,36.4,57.1,45950,229,16.9,40619,6277,6.31,1410,9073,19.7,1280,224
C7,3,42,1.98,39140,225,39.4,39409,13475,54.8,883,13793,3.81,719,267
C8,3,45.1,2.62,39844,255,45.3,39768,13350,47.7,908,13318,4.44,716,247
C9,3,29.5,15.1,33424,247,39,34184,7887,31.6,1188,8545,14.4,1076,260
C10,3,38.9,60.2,39083,215,14,41670,7615,4.1,1439,8770,21.7,1260,214
C11,3,34.1,48.8,37629,227,25.6,41430,7412,7.75,1378,9656,17.9,1223,228
C12,3,40,51.5,37008,224,23.6,39710,7921,6.5,1421,10776,18.3,1270,227
D1,3,38.5,63.5,67366,318,23.8,51966,4897,5.84,1045,9457,6.84,972,245
