well,Plate,Cells | Freq. of Parent (%),mScarlet-/GFP+_percent,mScarlet-/GFP+_Geometric Mean (GFP),mScarlet-/GFP+_Geometric Mean (mScarlet),mScarlet+/GFP+_percent,mScarlet+/GFP+_Geometric Mean (GFP),mScarlet+/GFP+_Geometric Mean (mScarlet),mScarlet+/GFP-_percent,mScarlet+/GFP-_Geometric Mean (GFP),mScarlet+/GFP-_Geometric Mean (mScarlet),mScarlet-/GFP-_percent,mScarlet-/GFP-_Geometric Mean (GFP),mScarlet-/GFP-_Geometric Mean (mScarlet)
F11,2,37.6,15.1,19753,476,15.8,22174,4551,32.8,1130,5164,36.3,1046,447
F12,2,45.9,20,20044,452,17.2,22684,4616,26.7,1064,5398,36.1,996,414
G1,2,51.6,8.24,46609,589,50.2,43644,6350,36.7,844,10850,4.88,753,473
G2,2,38.5,7.04,52298,604,51.7,46013,7094,37.4,846,12381,3.9,759,475
G3,2,38.7,29.8,29470,401,20.8,27843,4704,22.5,1072,6602,26.9,1055,321
G4,2,38.6,58.8,42937,334,8.78,52848,3458,3.82,942,5013,28.6,949,276
G5,2,48.7,56.1,39225,347,9.67,48317,3129,4.24,1094,3992,30,1064,285
G6,2,47,57.5,42237,348,9.66,49549,3279,4.72,1008,4555,28.1,1004,284
G7,2,45.6,9.44,27806,488,44.3,34936,7300,36.9,879,8584,9.39,807,438
G8,2,46.4,8.06,29362,516,47.7,34553,7553,36.9,886,9110,7.37,827,467
G9,2,42.2,25.9,23015,405,24.8,25645,4800,24,1183,5773,25.4,1151,365
G10,2,38.6,54.4,27163,322,9.12,38768,4201,4.52,1106,5391,32,1072,286
G11,2,50.7,52.9,27261,365,20.8,32631,4195,6.85,1240,5648,19.5,1208,310
G12,2,51.3,52.1,27366,369,22.4,33486,4660,6.71,1272,6242,18.8,1196,312
H1,2,52.7,60.6,68619,436,34.4,73097,3282,1.97,899,5736,3.02,957,290
H2,2,48.7,57.8,65948,447,37.4,70268,3367,1.88,1005,6308,2.97,1060,298
H3,2,42.4,78,60398,307,8.48,56070,3279,3.96,590,6810,9.55,771,239
H4,2,41.1,68.1,67703,300,3.76,82284,2699,0.24,761,3668,27.9,257,214
H5,2,39,71.2,78324,312,4.89,89812,2744,0.17,879,2712,23.8,240,221
H6,2,39.1,67,73042,302,4.38,85131,2791,0.28,900,2619,28.4,248,221
H7,2,46.4,41.6,38694,325,32.1,62610,5031,9.04,972,7025,17.2,1033,247
H8,2,48.8,41.3,37737,336,38.3,55892,5295,8.35,1061,7379,12.1,1172,252
H9,2,47.5,53.3,38594,304,16.3,43911,4138,7.45,1066,6078,23,1035,244
H10,2,41.5,37.5,64214,353,8.81,113044,3257,0.34,580,2356,53.4,262,226
H11,2,40.8,30.5,65958,335,7.28,105695,3213,0.48,845,2850,61.8,238,219
H12,2,39.6,31.2,63963,334,7.79,110331,3527,0.76,851,2989,60.2,241,220
