well,Plate,Cells | Freq. of Parent (%),mScarlet-/GFP+_percent,mScarlet-/GFP+_Geometric Mean (GFP),mScarlet-/GFP+_Geometric Mean (mScarlet),mScarlet+/GFP+_percent,mScarlet+/GFP+_Geometric Mean (GFP),mScarlet+/GFP+_Geometric Mean (mScarlet),mScarlet+/GFP-_percent,mScarlet+/GFP-_Geometric Mean (GFP),mScarlet+/GFP-_Geometric Mean (mScarlet),mScarlet-/GFP-_percent,mScarlet-/GFP-_Geometric Mean (GFP),mScarlet-/GFP-_Geometric Mean (mScarlet)
A1,1,47,0.014,89671,785,0.22,91038,8390,99.3,651,25611,0.48,336,436
A2,1,45.2,0,n/a,n/a,0.17,70873,10808,99.2,618,22421,0.68,416,575
A3,1,34.1,9.29E-03,86852,195,0.27,18106,18497,94.6,1055,13381,5.08,836,575
A4,1,24.4,0.22,80004,414,0.66,23290,14406,78.5,1172,13300,20.6,950,578
A5,1,21.7,0.12,74725,402,0.93,23555,11925,85.6,1308,16589,13.3,1055,553
A6,1,22.3,0.37,78299,317,1.08,27372,11824,82.9,1305,15284,15.7,1072,554
A7,1,42.3,0,n/a,n/a,0.15,93934,14398,99.3,664,21207,0.57,398,492
A8,1,44.9,0,n/a,n/a,0.061,119358,17166,99.1,652,21083,0.89,484,594
A9,1,25,0,n/a,n/a,0.43,16359,31566,94.3,968,13174,5.22,752,572
A10,1,17.3,0.12,126334,375,0.82,13998,33747,81.3,1141,17176,17.7,855,569
A11,1,14.1,0.043,109299,467,1.52,12983,29872,87.6,1046,26264,10.9,737,515
A12,1,36.8,0.016,90527,396,0.23,14953,28407,87,1145,40034,12.8,861,498
B1,1,49.5,0.053,33005,710,15.3,23259,20332,84.2,662,23252,0.47,427,497
B2,1,43.8,0.11,21588,665,23.1,24390,18446,76.1,730,21469,0.64,380,482
B3,1,38.5,0.75,25708,630,15.1,25417,10656,78.6,1072,13604,5.48,843,557
B4,1,29.9,5.17,23260,589,27.6,30594,9059,51.8,1265,14720,15.4,1047,570
B5,1,32.2,3.24,24178,565,23.1,27365,10242,62.4,1291,16719,11.3,1081,537
B6,1,28.1,4,25451,571,25.7,28142,10235,56.8,1343,17259,13.5,1134,536
B7,1,42.6,0.069,19427,625,12.9,27981,20125,86.2,655,20790,0.82,441,550
B8,1,40.3,0.054,38364,538,15.5,28222,19862,83.5,686,20616,0.91,452,555
B9,1,41.6,0.59,27258,602,11,28713,11272,82.6,1046,13346,5.79,834,567
B10,1,31.1,5.46,24525,589,34.3,29674,12004,47.7,1229,16995,12.6,987,559
B11,1,34,3.96,22062,540,34.9,26099,15382,52.5,1257,26279,8.6,995,522
B12,1,34.1,5.52,24692,559,44.1,27743,15808,42.3,1306,29674,8.06,1049,504
C1,1,46.6,0.27,36087,688,63.5,31794,17488,36,956,22534,0.27,555,490
C2,1,44.5,0.49,35576,717,64,31917,15445,35.2,1014,20535,0.31,555,509
