row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,read
A,296,,337,,328,,428,,473,,417,,357,,387,,364,,320,,298,,392,,"sfGFP_1:485,515"
A,287,,294,,337,,230,,284,,216,,205,,234,,209,,160,,131,,194,,"mScarlet_1:565,595"
A,8422,,8502,,9858,,6741,,8317,,6323,,6032,,6744,,6198,,4692,,3826,,5664,,"mScarlet_2:565,595"
A,0.852,,0.871,,0.863,,0.807,,0.869,,0.905,,0.822,,0.808,,0.829,,0.831,,0.813,,0.822,,OD600_1:600
A,0.69,,0.709,,0.704,,0.65,,0.702,,0.733,,0.67,,0.654,,0.676,,0.676,,0.662,,0.67,,OD700_1:700
B,326,,294,,281,,320,,464,,538,,317,,312,,296,,219,,284,,428,,"sfGFP_1:485,515"
B,341,,332,,308,,833,,950,,960,,242,,243,,259,,441,,589,,785,,"mScarlet_1:565,595"
B,10051,,9722,,8994,,24223,,27711,,28156,,7072,,7040,,7511,,12931,,17277,,22666,,"mScarlet_2:565,595"
B,0.818,,0.808,,0.757,,0.761,,0.813,,0.844,,0.851,,0.766,,0.786,,0.68,,0.809,,0.74,,OD600_1:600
B,0.663,,0.655,,0.603,,0.612,,0.656,,0.684,,0.695,,0.617,,0.637,,0.542,,0.663,,0.6,,OD700_1:700
C,311,,335,,303,,577,,510,,379,,287,,314,,254,,601,,367,,472,,"sfGFP_1:485,515"
C,337,,317,,316,,1751,,1807,,2014,,250,,275,,235,,1476,,1652,,1576,,"mScarlet_1:565,595"
C,9978,,9225,,9247,,50791,,52799,,58954,,7265,,8063,,6896,,43075,,48128,,45757,,"mScarlet_2:565,595"
C,0.829,,0.769,,0.812,,0.809,,0.868,,0.864,,0.818,,0.819,,0.814,,0.834,,0.825,,0.759,,OD600_1:600
C,0.671,,0.616,,0.655,,0.651,,0.7,,0.701,,0.662,,0.666,,0.662,,0.679,,0.67,,0.614,,OD700_1:700
D,368,,328,,329,,647,,593,,724,,244,,270,,270,,568,,526,,371,,"sfGFP_1:485,515"
D,340,,321,,313,,1954,,1997,,1831,,219,,274,,273,,2296,,1869,,2246,,"mScarlet_1:565,595"
D,9971,,9416,,9263,,56871,,58256,,53365,,6346,,7960,,7976,,66767,,54203,,65307,,"mScarlet_2:565,595"
D,0.843,,0.864,,0.943,,0.808,,0.839,,0.849,,0.79,,0.817,,0.869,,0.818,,0.731,,0.798,,OD600_1:600
D,0.678,,0.698,,0.77,,0.645,,0.674,,0.681,,0.636,,0.659,,0.705,,0.66,,0.588,,0.644,,OD700_1:700
E,521,,352,,382,,293,,513,,256,,429,,396,,320,,312,,299,,369,,"sfGFP_1:485,515"
E,293,,313,,315,,275,,298,,229,,224,,212,,206,,253,,214,,415,,"mScarlet_1:565,595"
E,8489,,9051,,9152,,8134,,8735,,6651,,6538,,6146,,6073,,7422,,6063,,12023,,"mScarlet_2:565,595"
E,0.916,,0.921,,0.913,,0.807,,0.834,,0.801,,0.852,,0.849,,0.788,,0.785,,0.77,,0.763,,OD600_1:600
E,0.74,,0.749,,0.739,,0.649,,0.67,,0.645,,0.688,,0.685,,0.639,,0.637,,0.623,,0.618,,OD700_1:700
F,424,,413,,370,,523,,214,,425,,394,,283,,316,,269,,270,,430,,"sfGFP_1:485,515"
F,342,,333,,317,,1157,,1132,,1150,,247,,200,,244,,694,,815,,945,,"mScarlet_1:565,595"
F,10040,,9646,,9332,,33546,,32846,,33625,,7238,,5823,,7101,,20351,,23856,,27490,,"mScarlet_2:565,595"
F,0.9,,0.887,,0.897,,0.844,,0.836,,0.882,,0.844,,0.783,,0.825,,0.823,,0.812,,0.788,,OD600_1:600
F,0.73,,0.718,,0.72,,0.678,,0.671,,0.71,,0.678,,0.626,,0.662,,0.667,,0.657,,0.637,,OD700_1:700
G,411,,338,,326,,654,,420,,477,,447,,305,,386,,360,,304,,331,,"sfGFP_1:485,515"
G,343,,342,,329,,1498,,2072,,2042,,273,,250,,272,,1489,,1580,,1686,,"mScarlet_1:565,595"
G,9928,,9937,,9608,,43421,,59860,,59162,,7955,,7305,,7888,,43181,,45770,,48777,,"mScarlet_2:565,595"
G,0.929,,0.927,,0.912,,0.861,,0.886,,0.883,,0.865,,0.835,,0.842,,0.85,,0.82,,0.767,,OD600_1:600
G,0.754,,0.752,,0.741,,0.7,,0.715,,0.713,,0.695,,0.677,,0.676,,0.689,,0.665,,0.618,,OD700_1:700
H,345,,351,,434,,655,,601,,411,,409,,370,,443,,337,,475,,268,,"sfGFP_1:485,515"
H,355,,347,,324,,2178,,2392,,2336,,274,,268,,266,,2249,,2156,,1637,,"mScarlet_1:565,595"
H,10218,,10074,,9380,,62690,,69037,,67484,,8072,,7759,,7735,,65016,,62339,,47475,,"mScarlet_2:565,595"
H,0.898,,0.916,,0.893,,0.883,,0.912,,0.863,,0.862,,0.853,,0.859,,0.85,,0.817,,0.682,,OD600_1:600
H,0.726,,0.743,,0.72,,0.711,,0.738,,0.694,,0.691,,0.685,,0.687,,0.687,,0.658,,0.546,,OD700_1:700
