row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,read
E,1.49,1.434,1.5,1.402,1.493,1.416,1.198,1.455,1.202,1.442,1.265,1.465,1.436,1.431,1.489,1.445,1.482,1.314,1.465,1.206,1.467,1.17,1.455,1.264,OD700_1:700
E,336,376,343,378,333,381,890,581,882,588,1555,587,500,454,400,431,404,373,533,472,483,446,611,462,"sfGFP_2:485,515"
E,652,558,644,482,643,491,5087,4090,5110,3522,5446,3574,636,484,641,459,649,406,7400,2347,6346,1926,6698,3017,"mScarlet_1_2:565,595"
E,18970,16183,18803,14006,18842,14454,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,18552,13918,18572,13369,18966,11780,OVRFLW,68924,OVRFLW,56515,OVRFLW,88387,"mScarlet_2_2:565,595"
E,1.482,1.422,1.486,1.391,1.482,1.412,1.191,1.455,1.186,1.446,1.249,1.465,1.435,1.425,1.484,1.436,1.485,1.315,1.452,1.208,1.459,1.166,1.441,1.273,OD700_2:700
F,15992,21450,16168,20931,17337,21307,10680,6263,12178,4765,11153,5493,17850,14859,18054,14365,16074,10392,1018,14204,2092,6849,6025,21633,"sfGFP_1:485,515"
F,681,348,662,308,662,295,57,41,60,43,943,36,722,413,739,434,719,285,92,185,63,40,77,794,"mScarlet_1_1:565,595"
F,19776,9986,19228,8962,19250,8669,1648,1157,1733,1267,27679,1063,20984,12032,21460,12686,20816,8256,2710,5466,1778,1163,2138,22940,"mScarlet_2_1:565,595"
F,1.392,1.184,1.362,1.116,1.386,1.124,0.398,0.341,0.455,0.303,0.609,0.302,1.283,1.247,1.387,1.307,1.373,0.986,0.099,0.548,0.163,0.29,0.26,0.818,OD700_1:700
F,16051,21447,16170,21006,17312,21292,10727,6184,12335,4783,11304,5549,18021,14950,17941,14497,16159,10471,1030,14469,2122,6946,6051,21521,"sfGFP_2:485,515"
F,658,340,640,303,642,290,56,39,56,44,929,34,706,406,708,427,690,279,94,187,61,43,71,778,"mScarlet_1_2:565,595"
F,19192,9860,18605,8921,18731,8487,1626,1163,1683,1334,27223,1115,20428,11943,20789,12390,20202,8177,2684,5432,1776,1239,2140,22826,"mScarlet_2_2:565,595"
F,1.377,1.178,1.36,1.106,1.388,1.119,0.404,0.349,0.459,0.314,0.594,0.314,1.28,1.245,1.379,1.296,1.37,0.985,0.099,0.55,0.167,0.293,0.264,0.827,OD700_2:700
G,22428,15694,22663,15160,23765,16126,11676,9122,13239,8080,11469,7899,22709,20259,22754,18354,22341,16702,776,8933,695,1400,5061,23933,"sfGFP_1:485,515"
G,676,315,640,281,639,287,17,53,27,33,799,28,654,336,646,316,650,295,9,36,9,7,10,176,"mScarlet_1_1:565,595"
G,19705,9165,18504,8302,18623,8170,631,1559,689,988,23175,893,19037,9783,19026,9216,18997,8572,249,1019,191,240,261,5032,"mScarlet_2_1:565,595"
