well,strain,sal,las,iptg,chlor,cole1,rep
N13,1x diff 2x bxb1,15,0.1,50,+,kan,1
N14,1x diff 2x bxb1,15,0.01,50,+,kan,1
N15,1x diff 2x bxb1,15,0.1,50,+,kan,2
N16,1x diff 2x bxb1,15,0.01,50,+,kan,2
N17,1x diff 2x bxb1,15,0.1,50,+,kan,3
N18,1x diff 2x bxb1,15,0.01,50,+,kan,3
N19,split pir 2x bxb1,15,0.1,50,+,kan,1
N20,split pir 2x bxb1,15,0.01,50,+,kan,1
N21,split pir 2x bxb1,15,0.1,50,+,kan,2
N22,split pir 2x bxb1,15,0.01,50,+,kan,2
N23,split pir 2x bxb1,15,0.1,50,+,kan,3
N24,split pir 2x bxb1,15,0.01,50,+,kan,3
O1,1x diff 2x bxb1,20,0.1,50,+,carb,1
O2,1x diff 2x bxb1,20,0.01,50,+,carb,1
O3,1x diff 2x bxb1,20,0.1,50,+,carb,2
O4,1x diff 2x bxb1,20,0.01,50,+,carb,2
O5,1x diff 2x bxb1,20,0.1,50,+,carb,3
O6,1x diff 2x bxb1,20,0.01,50,+,carb,3
O7,split pir 2x bxb1,20,0.1,50,+,carb,1
O8,split pir 2x bxb1,20,0.01,50,+,carb,1
O9,split pir 2x bxb1,20,0.1,50,+,carb,2
O10,split pir 2x bxb1,20,0.01,50,+,carb,2
O11,split pir 2x bxb1,20,0.1,50,+,carb,3
O12,split pir 2x bxb1,20,0.01,50,+,carb,3
O13,1x diff 2x bxb1,20,0.1,50,+,kan,1
O14,1x diff 2x bxb1,20,0.01,50,+,kan,1
O15,1x diff 2x bxb1,20,0.1,50,+,kan,2
O16,1x diff 2x bxb1,20,0.01,50,+,kan,2
O17,1x diff 2x bxb1,20,0.1,50,+,kan,3
O18,1x diff 2x bxb1,20,0.01,50,+,kan,3
O19,split pir 2x bxb1,20,0.1,50,+,kan,1
O20,split pir 2x bxb1,20,0.01,50,+,kan,1
O21,split pir 2x bxb1,20,0.1,50,+,kan,2
O22,split pir 2x bxb1,20,0.01,50,+,kan,2
O23,split pir 2x bxb1,20,0.1,50,+,kan,3
O24,split pir 2x bxb1,20,0.01,50,+,kan,3
P1,1x diff 2x bxb1,30,0.1,50,+,carb,1
P2,1x diff 2x bxb1,30,0.01,50,+,carb,1
P3,1x diff 2x bxb1,30,0.1,50,+,carb,2
P4,1x diff 2x bxb1,30,0.01,50,+,carb,2
P5,1x diff 2x bxb1,30,0.1,50,+,carb,3
P6,1x diff 2x bxb1,30,0.01,50,+,carb,3
P7,split pir 2x bxb1,30,0.1,50,+,carb,1
P8,split pir 2x bxb1,30,0.01,50,+,carb,1
P9,split pir 2x bxb1,30,0.1,50,+,carb,2
P10,split pir 2x bxb1,30,0.01,50,+,carb,2
P11,split pir 2x bxb1,30,0.1,50,+,carb,3
P12,split pir 2x bxb1,30,0.01,50,+,carb,3
P13,1x diff 2x bxb1,30,0.1,50,+,kan,1
P14,1x diff 2x bxb1,30,0.01,50,+,kan,1
P15,1x diff 2x bxb1,30,0.1,50,+,kan,2
P16,1x diff 2x bxb1,30,0.01,50,+,kan,2
P17,1x diff 2x bxb1,30,0.1,50,+,kan,3
P18,1x diff 2x bxb1,30,0.01,50,+,kan,3
P19,split pir 2x bxb1,30,0.1,50,+,kan,1
P20,split pir 2x bxb1,30,0.01,50,+,kan,1
P21,split pir 2x bxb1,30,0.1,50,+,kan,2
P22,split pir 2x bxb1,30,0.01,50,+,kan,2
P23,split pir 2x bxb1,30,0.1,50,+,kan,3
P24,split pir 2x bxb1,30,0.01,50,+,kan,3
