row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,read
A,239,295,231,249,211,281,2359,450,2396,469,11402,538,411,365,302,364,305,344,900,540,875,532,1280,519,"sfGFP_1:485,515"
A,482,448,403,433,343,432,4067,2876,4077,3222,1910,2767,387,387,356,348,363,373,4158,1719,3865,1563,4001,2411,"mScarlet_1_1:565,595"
A,14225,13004,11837,12706,10122,12584,OVRFLW,84001,OVRFLW,94014,56000,81099,11270,11316,10433,10251,10594,10898,OVRFLW,50521,OVRFLW,45684,OVRFLW,70479,"mScarlet_2_1:565,595"
A,1.56,1.473,1.543,1.465,1.528,1.48,1.284,1.461,1.258,1.492,1.47,1.46,1.477,1.463,1.519,1.389,1.524,1.419,1.258,1.378,1.218,1.298,1.244,1.454,OD700_1:700
A,232,293,229,248,210,280,2448,456,2488,475,11675,552,417,363,311,364,312,346,921,550,900,539,1326,518,"sfGFP_2:485,515"
A,478,439,397,426,344,425,4058,2884,4068,3217,1885,2771,379,385,353,350,360,370,4135,1723,3802,1548,3926,2398,"mScarlet_1_2:565,595"
A,13889,12822,11724,12582,10082,12401,OVRFLW,84383,OVRFLW,93877,54859,80774,11111,11190,10346,10202,10481,10821,OVRFLW,50109,OVRFLW,45367,OVRFLW,69759,"mScarlet_2_2:565,595"
A,1.55,1.466,1.532,1.46,1.52,1.481,1.271,1.463,1.25,1.492,1.466,1.454,1.467,1.455,1.512,1.389,1.516,1.416,1.241,1.372,1.192,1.297,1.232,1.454,OD700_2:700
B,16336,11377,15736,11956,14256,12502,1181,7992,1146,5736,9931,6379,9213,11068,14626,11457,13347,10945,6086,6556,3947,4519,908,10744,"sfGFP_1:485,515"
B,335,278,269,262,253,246,50,163,59,109,1493,112,332,231,250,249,273,230,354,192,145,48,67,347,"mScarlet_1_1:565,595"
B,9703,8138,7907,7711,7406,7280,1437,4781,1708,3317,43864,3293,9742,6697,7286,7324,8033,6643,10452,5692,4326,1388,1928,10198,"mScarlet_2_1:565,595"
B,1.465,1.273,1.455,1.279,1.411,1.313,0.138,0.874,0.162,0.758,1.203,0.771,1.343,1.15,1.354,1.219,1.37,1.174,0.834,0.843,0.665,0.573,0.436,0.914,OD700_1:700
B,16458,11537,15957,12202,14523,12765,1185,8301,1142,5976,10181,6638,9400,11355,14842,11688,13535,11227,6343,6873,4238,4772,942,11101,"sfGFP_2:485,515"
B,331,270,269,260,254,243,52,164,61,115,1490,113,333,227,247,245,275,227,361,195,147,50,65,349,"mScarlet_1_2:565,595"
B,9719,7933,7838,7500,7378,7142,1505,4790,1745,3335,43528,3357,9610,6609,7221,7197,7904,6562,10619,5780,4284,1401,1931,10174,"mScarlet_2_2:565,595"
B,1.457,1.253,1.446,1.271,1.402,1.303,0.142,0.867,0.169,0.754,1.202,0.768,1.336,1.144,1.336,1.203,1.347,1.164,0.835,0.839,0.66,0.568,0.445,0.91,OD700_2:700
C,19276,14523,18244,15116,17288,12388,1115,945,1123,932,9937,876,9519,13103,16316,15130,17042,12091,305,687,8392,2755,747,5078,"sfGFP_1:485,515"
C,128,136,107,118,88,97,12,11,14,11,1474,10,213,125,147,128,155,110,23,9,686,81,19,27,"mScarlet_1_1:565,595"
C,3710,3978,3012,3361,2608,2903,374,257,411,266,43301,240,6258,3482,4211,3688,4558,3208,684,224,20191,2410,604,784,"mScarlet_2_1:565,595"
C,1.417,1.07,1.368,1.17,1.363,0.98,0.125,0.239,0.18,0.14,1.202,0.13,1.084,1.008,1.325,1.137,1.286,1.1,0.239,0.239,1.052,0.495,0.281,0.626,OD700_1:700
C,19479,14596,18643,15233,17786,12718,1114,946,1122,930,10133,878,9854,13448,16679,15494,17369,12457,319,693,8626,2996,755,5419,"sfGFP_2:485,515"
C,125,133,102,113,89,97,13,10,14,10,1469,10,211,122,144,129,152,111,23,10,696,83,20,26,"mScarlet_1_2:565,595"
C,3654,3935,2976,3313,2563,2852,392,260,411,286,42839,267,6149,3467,4164,3713,4464,3239,724,240,20304,2436,597,785,"mScarlet_2_2:565,595"
C,1.401,1.064,1.349,1.158,1.361,0.972,0.129,0.247,0.19,0.144,1.198,0.132,1.073,0.993,1.32,1.133,1.278,1.095,0.25,0.244,1.047,0.496,0.301,0.625,OD700_2:700
D,18279,11736,17322,11208,15993,9902,1128,779,1087,806,9766,818,5272,10177,14179,10918,15176,8187,6411,2206,5420,213,665,2653,"sfGFP_1:485,515"
D,35,32,32,24,26,21,7,3,8,7,1339,1,41,25,42,27,54,30,344,515,358,5,7,68,"mScarlet_1_1:565,595"
D,1091,894,995,755,820,614,178,121,204,155,39132,133,1180,768,1143,777,1574,891,10207,15348,10628,123,341,1999,"mScarlet_2_1:565,595"
D,1.332,0.846,1.312,0.873,1.341,0.816,0.14,0.065,0.165,0.066,1.226,0.073,0.838,0.821,1.241,0.832,1.237,0.799,0.947,0.509,0.882,0.066,0.222,0.554,OD700_1:700
D,18432,11868,17663,11331,16429,10059,1131,776,1088,801,10017,818,5560,10501,14547,11285,15551,8494,6732,2352,5635,212,666,2903,"sfGFP_2:485,515"
D,36,32,33,24,29,20,8,4,2,5,1337,3,37,25,39,26,52,27,357,533,362,8,11,67,"mScarlet_1_2:565,595"
D,1067,883,958,732,793,604,182,126,209,161,38932,141,1191,757,1131,762,1571,882,10440,15812,10658,123,359,2016,"mScarlet_2_2:565,595"
D,1.329,0.836,1.284,0.871,1.335,0.812,0.142,0.066,0.168,0.067,1.216,0.073,0.83,0.811,1.232,0.825,1.231,0.793,0.941,0.509,0.875,0.065,0.245,0.555,OD700_2:700
E,315,296,281,271,329,263,877,423,832,389,1051,402,374,336,358,314,364,332,528,446,503,484,552,458,"sfGFP_1:485,515"
E,397,403,342,372,391,385,4300,2578,3975,2293,3893,2412,345,302,348,311,387,351,4134,1569,3649,1668,4078,2070,"mScarlet_1_1:565,595"
E,11624,11779,10130,11084,11429,11346,OVRFLW,75835,OVRFLW,67409,OVRFLW,71216,10002,8932,10285,9080,11429,10246,OVRFLW,46059,OVRFLW,48873,OVRFLW,60257,"mScarlet_2_1:565,595"
E,1.531,1.476,1.49,1.442,1.524,1.476,1.184,1.437,1.173,1.39,1.168,1.414,1.459,1.365,1.512,1.393,1.523,1.427,1.242,1.283,1.172,1.345,1.113,1.379,OD700_1:700
E,317,299,283,276,336,266,894,432,854,401,1081,407,378,340,362,318,370,333,544,457,504,488,560,460,"sfGFP_2:485,515"
E,395,402,342,374,391,387,4255,2600,3966,2313,3887,2436,346,303,351,313,386,343,4093,1579,3595,1671,4005,2059,"mScarlet_1_2:565,595"
E,11542,11699,10086,10956,11439,11308,OVRFLW,76288,OVRFLW,67818,OVRFLW,71713,10053,9005,10290,9084,11381,10241,OVRFLW,46345,OVRFLW,49009,OVRFLW,60411,"mScarlet_2_2:565,595"
E,1.521,1.474,1.483,1.438,1.507,1.47,1.169,1.429,1.144,1.385,1.129,1.407,1.44,1.353,1.495,1.388,1.508,1.419,1.217,1.281,1.137,1.34,1.084,1.376,OD700_2:700
F,14032,15186,13867,15924,14078,13074,484,3853,515,2551,1754,664,11043,10255,14708,10635,13967,10063,262,8984,925,1821,667,13245,"sfGFP_1:485,515"
F,418,215,395,205,384,174,34,73,27,61,834,122,366,247,391,256,386,215,31,147,55,18,142,449,"mScarlet_1_1:565,595"
F,12260,6358,11728,5978,11325,5024,974,2065,829,1860,24567,3531,10675,7204,11553,7528,11415,6349,966,4318,1617,594,4161,13163,"mScarlet_2_1:565,595"
F,1.417,1.044,1.39,1.076,1.389,0.928,0.124,0.583,0.058,0.526,1.064,0.517,1.344,1.164,1.4,1.204,1.413,1.083,0.079,0.575,0.152,0.251,0.113,0.833,OD700_1:700
F,14109,15225,14040,16042,14334,13309,484,4026,512,2656,1832,683,11381,10524,15035,10885,14207,10378,269,9231,971,1912,682,13650,"sfGFP_2:485,515"
F,416,218,396,205,387,170,37,72,30,64,849,124,365,250,393,258,382,219,39,146,58,23,149,447,"mScarlet_1_2:565,595"
F,12008,6284,11510,5909,11292,4977,1009,2095,889,1917,24906,3626,10656,7217,11493,7552,11306,6357,1040,4291,1723,626,4304,13165,"mScarlet_2_2:565,595"
F,1.418,1.027,1.361,1.039,1.38,0.899,0.132,0.572,0.058,0.531,1.06,0.524,1.337,1.154,1.384,1.197,1.396,1.077,0.08,0.572,0.156,0.261,0.114,0.828,OD700_2:700
G,19539,14631,18707,13503,18622,12557,501,4394,522,3477,2409,1606,13362,14782,18553,14496,18049,13777,199,1951,352,420,390,7770,"sfGFP_1:485,515"
G,416,217,402,195,392,178,7,106,8,107,545,14,387,218,443,211,432,206,4,13,13,7,15,48,"mScarlet_1_1:565,595"
G,12249,6405,11757,5752,11493,5311,194,3153,185,3119,16029,416,11272,6454,12920,6122,12657,5981,169,353,307,145,492,1385,"mScarlet_2_1:565,595"
