,well,strain,sal,las,iptg,chlor,cole1,rep,plate,channel,measurement
286,A13,1x diff 2x bxb1,30,0.01,10,-,carb,1,8,mScarlet,130.5
290,A13,1x diff 2x bxb1,30,0.01,10,-,carb,1,9,mScarlet,294.0
294,A13,1x diff 2x bxb1,30,0.01,10,-,carb,1,10,mScarlet,422.5
298,A13,1x diff 2x bxb1,30,0.01,10,-,carb,1,11,mScarlet,525.0
302,A13,1x diff 2x bxb1,30,0.01,10,-,carb,1,12,mScarlet,546.5
306,A13,1x diff 2x bxb1,30,0.01,10,-,carb,1,13,mScarlet,496.0
310,A13,1x diff 2x bxb1,30,0.01,10,-,carb,1,14,mScarlet,625.5
314,A13,1x diff 2x bxb1,30,0.01,10,-,carb,1,15,mScarlet,607.0
318,A13,1x diff 2x bxb1,30,0.01,10,-,carb,1,16,mScarlet,589.0
322,A14,1x diff 2x bxb1,30,0.01,10,-,kan,1,1,mScarlet,417.5
326,A14,1x diff 2x bxb1,30,0.01,10,-,kan,1,2,mScarlet,142.5
330,A14,1x diff 2x bxb1,30,0.01,10,-,kan,1,3,mScarlet,40.0
334,A14,1x diff 2x bxb1,30,0.01,10,-,kan,1,4,mScarlet,34.0
338,A14,1x diff 2x bxb1,30,0.01,10,-,kan,1,5,mScarlet,102.5
342,A14,1x diff 2x bxb1,30,0.01,10,-,kan,1,6,mScarlet,249.5
346,A14,1x diff 2x bxb1,30,0.01,10,-,kan,1,7,mScarlet,537.5
350,A14,1x diff 2x bxb1,30,0.01,10,-,kan,1,8,mScarlet,548.5
354,A14,1x diff 2x bxb1,30,0.01,10,-,kan,1,9,mScarlet,612.0
358,A14,1x diff 2x bxb1,30,0.01,10,-,kan,1,10,mScarlet,630.5
362,A14,1x diff 2x bxb1,30,0.01,10,-,kan,1,11,mScarlet,623.5
366,A14,1x diff 2x bxb1,30,0.01,10,-,kan,1,12,mScarlet,347.5
370,A14,1x diff 2x bxb1,30,0.01,10,-,kan,1,13,mScarlet,507.0
374,A14,1x diff 2x bxb1,30,0.01,10,-,kan,1,14,mScarlet,577.5
378,A14,1x diff 2x bxb1,30,0.01,10,-,kan,1,15,mScarlet,557.0
382,A14,1x diff 2x bxb1,30,0.01,10,-,kan,1,16,mScarlet,534.5
386,A15,1x diff 2x bxb1,30,0.01,50,-,carb,1,1,mScarlet,479.0
390,A15,1x diff 2x bxb1,30,0.01,50,-,carb,1,2,mScarlet,241.5
394,A15,1x diff 2x bxb1,30,0.01,50,-,carb,1,3,mScarlet,129.0
398,A15,1x diff 2x bxb1,30,0.01,50,-,carb,1,4,mScarlet,147.5
402,A15,1x diff 2x bxb1,30,0.01,50,-,carb,1,5,mScarlet,161.5
406,A15,1x diff 2x bxb1,30,0.01,50,-,carb,1,6,mScarlet,147.5
410,A15,1x diff 2x bxb1,30,0.01,50,-,carb,1,7,mScarlet,451.0
414,A15,1x diff 2x bxb1,30,0.01,50,-,carb,1,8,mScarlet,620.5
418,A15,1x diff 2x bxb1,30,0.01,50,-,carb,1,9,mScarlet,747.5
422,A15,1x diff 2x bxb1,30,0.01,50,-,carb,1,10,mScarlet,797.5
426,A15,1x diff 2x bxb1,30,0.01,50,-,carb,1,11,mScarlet,843.5
430,A15,1x diff 2x bxb1,30,0.01,50,-,carb,1,12,mScarlet,795.0
434,A15,1x diff 2x bxb1,30,0.01,50,-,carb,1,13,mScarlet,674.0
438,A15,1x diff 2x bxb1,30,0.01,50,-,carb,1,14,mScarlet,838.5
442,A15,1x diff 2x bxb1,30,0.01,50,-,carb,1,15,mScarlet,789.0
446,A15,1x diff 2x bxb1,30,0.01,50,-,carb,1,16,mScarlet,755.0
450,A16,1x diff 2x bxb1,30,0.01,50,-,kan,1,1,mScarlet,448.5
454,A16,1x diff 2x bxb1,30,0.01,50,-,kan,1,2,mScarlet,313.0
458,A16,1x diff 2x bxb1,30,0.01,50,-,kan,1,3,mScarlet,139.5
462,A16,1x diff 2x bxb1,30,0.01,50,-,kan,1,4,mScarlet,169.5
466,A16,1x diff 2x bxb1,30,0.01,50,-,kan,1,5,mScarlet,389.5
470,A16,1x diff 2x bxb1,30,0.01,50,-,kan,1,6,mScarlet,453.0
474,A16,1x diff 2x bxb1,30,0.01,50,-,kan,1,7,mScarlet,610.5
478,A16,1x diff 2x bxb1,30,0.01,50,-,kan,1,8,mScarlet,669.0
482,A16,1x diff 2x bxb1,30,0.01,50,-,kan,1,9,mScarlet,721.0
486,A16,1x diff 2x bxb1,30,0.01,50,-,kan,1,10,mScarlet,740.5
490,A16,1x diff 2x bxb1,30,0.01,50,-,kan,1,11,mScarlet,753.5
494,A16,1x diff 2x bxb1,30,0.01,50,-,kan,1,12,mScarlet,413.0
