,strain,sal,las,iptg,chlor,cole1,plate,measurement,std
66,1x diff 2x bxb1,10,0.01,50,+,carb,3,631.3125,11.186527292110924
67,1x diff 2x bxb1,10,0.01,50,+,carb,4,567.125,19.6791223671905
68,1x diff 2x bxb1,10,0.01,50,+,carb,5,645.5,10.826554655765861
69,1x diff 2x bxb1,10,0.01,50,+,carb,6,594.25,12.21240587037858
70,1x diff 2x bxb1,10,0.01,50,+,carb,7,637.125,6.9165949508617235
71,1x diff 2x bxb1,10,0.01,50,+,carb,8,634.4375,14.690710135514685
72,1x diff 2x bxb1,10,0.01,50,+,carb,9,679.625,9.081968005732179
73,1x diff 2x bxb1,10,0.01,50,+,carb,10,654.25,32.598203280899654
74,1x diff 2x bxb1,10,0.01,50,+,carb,11,708.4375,5.821373794659015
75,1x diff 2x bxb1,10,0.01,50,+,carb,12,613.3125,52.92645672467196
76,1x diff 2x bxb1,10,0.01,50,+,carb,13,533.0,49.48159831117597
77,1x diff 2x bxb1,10,0.01,50,+,carb,14,659.9375,15.66715741379304
78,1x diff 2x bxb1,10,0.01,50,+,carb,15,617.0,15.019035540654022
79,1x diff 2x bxb1,10,0.01,50,+,carb,16,512.0625,61.33656419414815
80,1x diff 2x bxb1,10,0.01,50,+,kan,1,500.1875,58.77374140355053
81,1x diff 2x bxb1,10,0.01,50,+,kan,2,574.0625,24.791181467841113
82,1x diff 2x bxb1,10,0.01,50,+,kan,3,295.9375,44.64897815180095
83,1x diff 2x bxb1,10,0.01,50,+,kan,4,451.0625,50.409351102463404
84,1x diff 2x bxb1,10,0.01,50,+,kan,5,585.8125,21.40917276709747
85,1x diff 2x bxb1,10,0.01,50,+,kan,6,471.125,48.562000135320396
86,1x diff 2x bxb1,10,0.01,50,+,kan,7,526.0625,59.39422621048998
87,1x diff 2x bxb1,10,0.01,50,+,kan,8,565.9375,24.627855164427107
88,1x diff 2x bxb1,10,0.01,50,+,kan,9,600.0,27.006612946779217
89,1x diff 2x bxb1,10,0.01,50,+,kan,10,581.6875,26.14511358333931
90,1x diff 2x bxb1,10,0.01,50,+,kan,11,558.1875,41.57689734524623
91,1x diff 2x bxb1,10,0.01,50,+,kan,12,288.0,10.06408039940631
92,1x diff 2x bxb1,10,0.01,50,+,kan,13,350.625,24.580407412641247
93,1x diff 2x bxb1,10,0.01,50,+,kan,14,461.9375,38.08490280187902
94,1x diff 2x bxb1,10,0.01,50,+,kan,15,517.0625,16.766116979534306
95,1x diff 2x bxb1,10,0.01,50,+,kan,16,514.0,33.72896169678007
96,1x diff 2x bxb1,10,0.01,50,-,carb,1,698.625,12.403196592583953
97,1x diff 2x bxb1,10,0.01,50,-,carb,2,741.75,19.353847900906644
98,1x diff 2x bxb1,10,0.01,50,-,carb,3,693.6875,18.318486954050414
99,1x diff 2x bxb1,10,0.01,50,-,carb,4,651.25,18.58186519932039
100,1x diff 2x bxb1,10,0.01,50,-,carb,5,708.5,14.764823060233404
101,1x diff 2x bxb1,10,0.01,50,-,carb,6,661.9375,19.59489273837884
102,1x diff 2x bxb1,10,0.01,50,-,carb,7,696.5,18.216946584352247
103,1x diff 2x bxb1,10,0.01,50,-,carb,8,706.1875,13.328105373876006
104,1x diff 2x bxb1,10,0.01,50,-,carb,9,771.75,11.886366740333834
105,1x diff 2x bxb1,10,0.01,50,-,carb,10,785.6875,9.569062873955545
106,1x diff 2x bxb1,10,0.01,50,-,carb,11,813.25,12.98075498574718
107,1x diff 2x bxb1,10,0.01,50,-,carb,12,781.875,23.27130360397912
108,1x diff 2x bxb1,10,0.01,50,-,carb,13,763.75,52.73315573987313
109,1x diff 2x bxb1,10,0.01,50,-,carb,14,803.0625,18.80432606001685
110,1x diff 2x bxb1,10,0.01,50,-,carb,15,745.1875,16.27868347607651
111,1x diff 2x bxb1,10,0.01,50,-,carb,16,639.25,74.48250034164303
112,1x diff 2x bxb1,10,0.01,50,-,kan,1,587.8125,60.91794100028567
113,1x diff 2x bxb1,10,0.01,50,-,kan,2,646.5,32.06355296238126
114,1x diff 2x bxb1,10,0.01,50,-,kan,3,385.6875,41.510702148447734
115,1x diff 2x bxb1,10,0.01,50,-,kan,4,521.8125,45.92457908664723
116,1x diff 2x bxb1,10,0.01,50,-,kan,5,598.4375,36.73693888406368
117,1x diff 2x bxb1,10,0.01,50,-,kan,6,505.9375,42.28680771993622
118,1x diff 2x bxb1,10,0.01,50,-,kan,7,525.875,44.139187318559195
119,1x diff 2x bxb1,10,0.01,50,-,kan,8,560.0625,34.582652030007345
120,1x diff 2x bxb1,10,0.01,50,-,kan,9,625.25,44.052728146425366
121,1x diff 2x bxb1,10,0.01,50,-,kan,10,637.5625,46.83057418579693
122,1x diff 2x bxb1,10,0.01,50,-,kan,11,618.375,53.58621224584868
123,1x diff 2x bxb1,10,0.01,50,-,kan,12,332.3125,20.15110330194638
124,1x diff 2x bxb1,10,0.01,50,-,kan,13,522.625,51.41827773967431
125,1x diff 2x bxb1,10,0.01,50,-,kan,14,561.625,62.17415057722943
126,1x diff 2x bxb1,10,0.01,50,-,kan,15,525.625,53.45074501685775
127,1x diff 2x bxb1,10,0.01,50,-,kan,16,488.375,60.580377539737604
128,1x diff 2x bxb1,15,0.01,10,+,carb,1,561.6875,12.82001086471569
129,1x diff 2x bxb1,15,0.01,10,+,carb,2,357.375,15.590175477799196
130,1x diff 2x bxb1,15,0.01,10,+,carb,3,366.625,36.337456078896246
131,1x diff 2x bxb1,15,0.01,10,+,carb,4,318.375,47.984930670248666
132,1x diff 2x bxb1,15,0.01,10,+,carb,5,457.0625,15.66715741379308
133,1x diff 2x bxb1,15,0.01,10,+,carb,6,419.4375,13.358885486019082
134,1x diff 2x bxb1,15,0.01,10,+,carb,7,453.0625,14.248903466582961
135,1x diff 2x bxb1,15,0.01,10,+,carb,8,434.125,22.288289686354513
136,1x diff 2x bxb1,15,0.01,10,+,carb,9,463.1875,15.822537045980601
137,1x diff 2x bxb1,15,0.01,10,+,carb,10,376.75,27.36133873082341
138,1x diff 2x bxb1,15,0.01,10,+,carb,11,457.625,20.751505969447138
139,1x diff 2x bxb1,15,0.01,10,+,carb,12,360.875,39.140543466553225
140,1x diff 2x bxb1,15,0.01,10,+,carb,13,358.0,15.028544269394255
141,1x diff 2x bxb1,15,0.01,10,+,carb,14,571.875,38.17230671573307
142,1x diff 2x bxb1,15,0.01,10,+,carb,15,614.5625,43.17194649637326
143,1x diff 2x bxb1,15,0.01,10,+,carb,16,590.8125,40.07932981689473
144,1x diff 2x bxb1,15,0.01,10,+,kan,1,468.3125,57.360973230934626
145,1x diff 2x bxb1,15,0.01,10,+,kan,2,438.4375,30.776193837816553
146,1x diff 2x bxb1,15,0.01,10,+,kan,3,239.875,32.069957013646636
147,1x diff 2x bxb1,15,0.01,10,+,kan,4,291.125,29.148327567803946
148,1x diff 2x bxb1,15,0.01,10,+,kan,5,398.0,44.13210687405325
149,1x diff 2x bxb1,15,0.01,10,+,kan,6,316.6875,39.51033996671903
150,1x diff 2x bxb1,15,0.01,10,+,kan,7,410.8125,66.4980867071699
151,1x diff 2x bxb1,15,0.01,10,+,kan,8,447.75,18.283482006601332
152,1x diff 2x bxb1,15,0.01,10,+,kan,9,473.9375,20.850552407892835
153,1x diff 2x bxb1,15,0.01,10,+,kan,10,418.1875,33.92527239600085
154,1x diff 2x bxb1,15,0.01,10,+,kan,11,418.0,47.23497493534698
155,1x diff 2x bxb1,15,0.01,10,+,kan,12,213.375,10.016949920723658
156,1x diff 2x bxb1,15,0.01,10,+,kan,13,266.4375,20.91383257217918
157,1x diff 2x bxb1,15,0.01,10,+,kan,14,444.8125,89.18517553783414
158,1x diff 2x bxb1,15,0.01,10,+,kan,15,616.8125,89.05012132020293
159,1x diff 2x bxb1,15,0.01,10,+,kan,16,697.3125,106.09360338197315
160,1x diff 2x bxb1,15,0.01,10,-,carb,1,616.9375,16.360748978664088
161,1x diff 2x bxb1,15,0.01,10,-,carb,2,399.3125,27.151608081816658
162,1x diff 2x bxb1,15,0.01,10,-,carb,3,302.8125,32.48179435138574
163,1x diff 2x bxb1,15,0.01,10,-,carb,4,265.5,40.85427062831288
164,1x diff 2x bxb1,15,0.01,10,-,carb,5,367.6875,62.1041392110289
165,1x diff 2x bxb1,15,0.01,10,-,carb,6,324.6875,54.884253206179295
166,1x diff 2x bxb1,15,0.01,10,-,carb,7,330.5,58.13776741499453
167,1x diff 2x bxb1,15,0.01,10,-,carb,8,315.5625,58.05996745976155
168,1x diff 2x bxb1,15,0.01,10,-,carb,9,334.5625,70.35544323545366
169,1x diff 2x bxb1,15,0.01,10,-,carb,10,265.125,35.85561322861456
170,1x diff 2x bxb1,15,0.01,10,-,carb,11,284.8125,52.71075893157732
171,1x diff 2x bxb1,15,0.01,10,-,carb,12,243.8125,40.3917755949684
172,1x diff 2x bxb1,15,0.01,10,-,carb,13,238.6875,19.802484512230862
173,1x diff 2x bxb1,15,0.01,10,-,carb,14,385.0625,20.78020606937559
174,1x diff 2x bxb1,15,0.01,10,-,carb,15,392.5,42.39440663915128
175,1x diff 2x bxb1,15,0.01,10,-,carb,16,369.1875,64.78863298670312
176,1x diff 2x bxb1,15,0.01,10,-,kan,1,533.375,62.086201595615655
177,1x diff 2x bxb1,15,0.01,10,-,kan,2,499.625,30.256935450523454
178,1x diff 2x bxb1,15,0.01,10,-,kan,3,282.4375,20.96329700759333
179,1x diff 2x bxb1,15,0.01,10,-,kan,4,339.3125,43.335845852069
180,1x diff 2x bxb1,15,0.01,10,-,kan,5,416.875,31.05381274037515
181,1x diff 2x bxb1,15,0.01,10,-,kan,6,331.0,53.53570237300925
182,1x diff 2x bxb1,15,0.01,10,-,kan,7,425.9375,59.30215456215976
183,1x diff 2x bxb1,15,0.01,10,-,kan,8,421.625,24.329215241879762
184,1x diff 2x bxb1,15,0.01,10,-,kan,9,494.25,35.53569633883251
185,1x diff 2x bxb1,15,0.01,10,-,kan,10,440.5625,36.02324398416747
186,1x diff 2x bxb1,15,0.01,10,-,kan,11,340.125,40.937888493249304
187,1x diff 2x bxb1,15,0.01,10,-,kan,12,202.375,16.472379479428152
188,1x diff 2x bxb1,15,0.01,10,-,kan,13,253.125,19.814767220434366
189,1x diff 2x bxb1,15,0.01,10,-,kan,14,368.1875,29.80884037136826
190,1x diff 2x bxb1,15,0.01,10,-,kan,15,434.5,48.43478679036971
191,1x diff 2x bxb1,15,0.01,10,-,kan,16,452.3125,66.49003013341819
192,1x diff 2x bxb1,15,0.01,50,+,carb,1,590.1875,8.057549698441651
193,1x diff 2x bxb1,15,0.01,50,+,carb,2,509.3125,24.354432714747087
194,1x diff 2x bxb1,15,0.01,50,+,carb,3,517.375,25.008212936667725
195,1x diff 2x bxb1,15,0.01,50,+,carb,4,430.375,43.00311450514785
196,1x diff 2x bxb1,15,0.01,50,+,carb,5,554.125,8.21475153958677
197,1x diff 2x bxb1,15,0.01,50,+,carb,6,498.8125,31.703917626330384
198,1x diff 2x bxb1,15,0.01,50,+,carb,7,560.8125,8.688816703918059
199,1x diff 2x bxb1,15,0.01,50,+,carb,8,563.5,9.05932826270406
200,1x diff 2x bxb1,15,0.01,50,+,carb,9,577.375,11.038083425771223
201,1x diff 2x bxb1,15,0.01,50,+,carb,10,495.375,32.991070220375
202,1x diff 2x bxb1,15,0.01,50,+,carb,11,585.25,10.528871870107594
203,1x diff 2x bxb1,15,0.01,50,+,carb,12,467.125,50.57649792993919
204,1x diff 2x bxb1,15,0.01,50,+,carb,13,415.1875,15.450236937619161
205,1x diff 2x bxb1,15,0.01,50,+,carb,14,602.6875,27.578378565204186
206,1x diff 2x bxb1,15,0.01,50,+,carb,15,605.8125,37.52707356029777
207,1x diff 2x bxb1,15,0.01,50,+,carb,16,591.25,48.95843718327385
208,1x diff 2x bxb1,15,0.01,50,+,kan,1,483.9375,130.22574835920233
209,1x diff 2x bxb1,15,0.01,50,+,kan,2,522.625,32.731319645169904
210,1x diff 2x bxb1,15,0.01,50,+,kan,3,251.375,37.909431544142144
211,1x diff 2x bxb1,15,0.01,50,+,kan,4,324.625,29.474868229440094
212,1x diff 2x bxb1,15,0.01,50,+,kan,5,484.5,24.79487274187376
213,1x diff 2x bxb1,15,0.01,50,+,kan,6,394.8125,38.28832113992837
214,1x diff 2x bxb1,15,0.01,50,+,kan,7,461.0,61.54440905325427
215,1x diff 2x bxb1,15,0.01,50,+,kan,8,502.6875,24.418870776512158
216,1x diff 2x bxb1,15,0.01,50,+,kan,9,519.0,29.287979006509033
217,1x diff 2x bxb1,15,0.01,50,+,kan,10,459.5625,30.6424512960137
218,1x diff 2x bxb1,15,0.01,50,+,kan,11,447.25,35.73913421287251
219,1x diff 2x bxb1,15,0.01,50,+,kan,12,229.875,12.656872780091794
220,1x diff 2x bxb1,15,0.01,50,+,kan,13,282.5,26.531652255910704
221,1x diff 2x bxb1,15,0.01,50,+,kan,14,470.6875,85.89733801795856
222,1x diff 2x bxb1,15,0.01,50,+,kan,15,611.6875,88.73513456992588
223,1x diff 2x bxb1,15,0.01,50,+,kan,16,692.3125,111.2753783252547
224,1x diff 2x bxb1,15,0.01,50,-,carb,1,628.0625,17.73704255425432
225,1x diff 2x bxb1,15,0.01,50,-,carb,2,537.0,26.36285265292814
226,1x diff 2x bxb1,15,0.01,50,-,carb,3,549.8125,15.869866999172618
227,1x diff 2x bxb1,15,0.01,50,-,carb,4,486.9375,34.10847977933263
228,1x diff 2x bxb1,15,0.01,50,-,carb,5,605.875,16.44851274214699
229,1x diff 2x bxb1,15,0.01,50,-,carb,6,523.5625,18.987660466734713
230,1x diff 2x bxb1,15,0.01,50,-,carb,7,555.9375,21.05848573446276
231,1x diff 2x bxb1,15,0.01,50,-,carb,8,529.1875,25.143782957792386
232,1x diff 2x bxb1,15,0.01,50,-,carb,9,512.0625,47.511981571569336
233,1x diff 2x bxb1,15,0.01,50,-,carb,10,417.3125,59.92193582367932
234,1x diff 2x bxb1,15,0.01,50,-,carb,11,340.875,71.54306894651441
235,1x diff 2x bxb1,15,0.01,50,-,carb,12,233.4375,66.38547469138109
236,1x diff 2x bxb1,15,0.01,50,-,carb,13,163.9375,45.90552215459175
237,1x diff 2x bxb1,15,0.01,50,-,carb,14,142.1875,28.943217192091335
238,1x diff 2x bxb1,15,0.01,50,-,carb,15,254.25,111.6352478898514
239,1x diff 2x bxb1,15,0.01,50,-,carb,16,420.9375,213.90876518139356
240,1x diff 2x bxb1,15,0.01,50,-,kan,1,591.4375,46.36072652888125
241,1x diff 2x bxb1,15,0.01,50,-,kan,2,585.125,22.420892680074736
242,1x diff 2x bxb1,15,0.01,50,-,kan,3,320.25,33.72896169678006
243,1x diff 2x bxb1,15,0.01,50,-,kan,4,371.5,32.209138011262766
244,1x diff 2x bxb1,15,0.01,50,-,kan,5,537.4375,40.04679182798899
245,1x diff 2x bxb1,15,0.01,50,-,kan,6,380.4375,56.04108027662768
246,1x diff 2x bxb1,15,0.01,50,-,kan,7,443.6875,57.698067249135086
247,1x diff 2x bxb1,15,0.01,50,-,kan,8,458.5625,30.68670896565576
248,1x diff 2x bxb1,15,0.01,50,-,kan,9,584.375,39.36255472254963
249,1x diff 2x bxb1,15,0.01,50,-,kan,10,539.0,33.61441017522949
250,1x diff 2x bxb1,15,0.01,50,-,kan,11,433.6875,26.02600004940115
251,1x diff 2x bxb1,15,0.01,50,-,kan,12,248.375,20.11529268989144
252,1x diff 2x bxb1,15,0.01,50,-,kan,13,339.4375,35.63950206081529
253,1x diff 2x bxb1,15,0.01,50,-,kan,14,441.25,34.45390295121046
254,1x diff 2x bxb1,15,0.01,50,-,kan,15,567.3125,66.70935761088653
255,1x diff 2x bxb1,15,0.01,50,-,kan,16,576.5625,80.19816416673316
256,1x diff 2x bxb1,20,0.01,10,+,carb,1,398.8125,53.63829755208225
257,1x diff 2x bxb1,20,0.01,10,+,carb,2,294.875,26.910897951785802
258,1x diff 2x bxb1,20,0.01,10,+,carb,3,232.1875,26.26776609676364
259,1x diff 2x bxb1,20,0.01,10,+,carb,4,200.5,17.51529943465753
260,1x diff 2x bxb1,20,0.01,10,+,carb,5,253.3125,19.639496465759287
261,1x diff 2x bxb1,20,0.01,10,+,carb,6,206.75,16.459908001825877
262,1x diff 2x bxb1,20,0.01,10,+,carb,7,288.375,17.90799901081717
263,1x diff 2x bxb1,20,0.01,10,+,carb,8,307.1875,15.366795139427834
264,1x diff 2x bxb1,20,0.01,10,+,carb,9,351.5,60.14387511863295
265,1x diff 2x bxb1,20,0.01,10,+,carb,10,349.75,65.0236220812977
266,1x diff 2x bxb1,20,0.01,10,+,carb,11,499.0,85.24251119180917
267,1x diff 2x bxb1,20,0.01,10,+,carb,12,615.5625,100.96938627270006
268,1x diff 2x bxb1,20,0.01,10,+,carb,13,790.75,67.73108592072032
269,1x diff 2x bxb1,20,0.01,10,+,carb,14,782.5625,86.55280696116762
270,1x diff 2x bxb1,20,0.01,10,+,carb,15,883.125,23.019789622968172
271,1x diff 2x bxb1,20,0.01,10,+,carb,16,647.1875,36.77046320466624
272,1x diff 2x bxb1,20,0.01,10,+,kan,1,326.0625,44.14621606499409
273,1x diff 2x bxb1,20,0.01,10,+,kan,2,261.125,22.09193453341222
274,1x diff 2x bxb1,20,0.01,10,+,kan,3,238.75,20.62245655312951
275,1x diff 2x bxb1,20,0.01,10,+,kan,4,190.4375,7.603746726825816
276,1x diff 2x bxb1,20,0.01,10,+,kan,5,249.875,17.579919551254246
277,1x diff 2x bxb1,20,0.01,10,+,kan,6,187.6875,12.919911266833731
278,1x diff 2x bxb1,20,0.01,10,+,kan,7,266.8125,18.302883262324706
279,1x diff 2x bxb1,20,0.01,10,+,kan,8,299.6875,37.48993912657481
280,1x diff 2x bxb1,20,0.01,10,+,kan,9,390.75,83.08171536849386
281,1x diff 2x bxb1,20,0.01,10,+,kan,10,441.5625,86.01554572949506
282,1x diff 2x bxb1,20,0.01,10,+,kan,11,544.4375,47.84083544122414
283,1x diff 2x bxb1,20,0.01,10,+,kan,12,578.5,59.717190633375075
