,strain,sal,las,iptg,chlor,cole1,plate,measurement,std
70,1x diff 2x bxb1,10,0.01,50,+,carb,7,1.3603750000000001,0.0123859078910555
71,1x diff 2x bxb1,10,0.01,50,+,carb,8,1.352125,0.020715332485866596
72,1x diff 2x bxb1,10,0.01,50,+,carb,9,1.422875,0.009330250341152244
73,1x diff 2x bxb1,10,0.01,50,+,carb,10,1.44325,0.013905291901184233
74,1x diff 2x bxb1,10,0.01,50,+,carb,11,1.4275625,0.010111653460947235
75,1x diff 2x bxb1,10,0.01,50,+,carb,12,1.4289999999999998,0.020479955357094265
76,1x diff 2x bxb1,10,0.01,50,+,carb,13,1.4251875,0.019285333990959545
77,1x diff 2x bxb1,10,0.01,50,+,carb,14,1.4491874999999999,0.015917056215626967
78,1x diff 2x bxb1,10,0.01,50,+,carb,15,1.4080625,0.010952617104079318
79,1x diff 2x bxb1,10,0.01,50,+,carb,16,1.4322499999999998,0.023726115809979766
80,1x diff 2x bxb1,10,0.01,50,+,kan,1,1.3403125,0.020080085194753777
81,1x diff 2x bxb1,10,0.01,50,+,kan,2,1.3329374999999999,0.008252434705675046
82,1x diff 2x bxb1,10,0.01,50,+,kan,3,1.1563125,0.08297501237463872
83,1x diff 2x bxb1,10,0.01,50,+,kan,4,1.3494375,0.019819610598740704
84,1x diff 2x bxb1,10,0.01,50,+,kan,5,1.3495,0.010361329203202839
85,1x diff 2x bxb1,10,0.01,50,+,kan,6,1.348625,0.015438241017495658
86,1x diff 2x bxb1,10,0.01,50,+,kan,7,1.3450000000000002,0.015238578861373014
87,1x diff 2x bxb1,10,0.01,50,+,kan,8,1.35125,0.024911271115128305
88,1x diff 2x bxb1,10,0.01,50,+,kan,9,1.4168124999999998,0.009059081867701222
89,1x diff 2x bxb1,10,0.01,50,+,kan,10,1.4188124999999998,0.014767090582972459
90,1x diff 2x bxb1,10,0.01,50,+,kan,11,1.4194375,0.010026527315077789
91,1x diff 2x bxb1,10,0.01,50,+,kan,12,1.1719374999999999,0.01986101259826833
92,1x diff 2x bxb1,10,0.01,50,+,kan,13,1.3328125000000002,0.033933693222434363
93,1x diff 2x bxb1,10,0.01,50,+,kan,14,1.3964375000000002,0.010831295595897775
94,1x diff 2x bxb1,10,0.01,50,+,kan,15,1.3851875,0.012062153029798881
95,1x diff 2x bxb1,10,0.01,50,+,kan,16,1.425625,0.014569415126999977
96,1x diff 2x bxb1,10,0.01,50,-,carb,1,1.3575000000000002,0.012741944233794914
97,1x diff 2x bxb1,10,0.01,50,-,carb,2,1.3681875000000001,0.022382929560588977
