well,strain,sal,las,iptg,chlor,cole1,rep
A1,1x diff 2x bxb1,10,0.01,10,-,carb,1
B1,1x diff 2x bxb1,10,0.01,10,-,carb,2
C1,1x diff 2x bxb1,10,0.01,10,-,carb,3
D1,1x diff 2x bxb1,10,0.01,10,-,carb,4
E1,1x diff 2x bxb1,10,0.01,10,-,carb,5
F1,1x diff 2x bxb1,10,0.01,10,-,carb,6
G1,1x diff 2x bxb1,10,0.01,10,-,carb,7
H1,1x diff 2x bxb1,10,0.01,10,-,carb,8
A3,1x diff 2x bxb1,10,0.01,50,-,carb,1
B3,1x diff 2x bxb1,10,0.01,50,-,carb,2
C3,1x diff 2x bxb1,10,0.01,50,-,carb,3
D3,1x diff 2x bxb1,10,0.01,50,-,carb,4
E3,1x diff 2x bxb1,10,0.01,50,-,carb,5
F3,1x diff 2x bxb1,10,0.01,50,-,carb,6
G3,1x diff 2x bxb1,10,0.01,50,-,carb,7
H3,1x diff 2x bxb1,10,0.01,50,-,carb,8
A5,1x diff 2x bxb1,15,0.01,10,-,carb,1
B5,1x diff 2x bxb1,15,0.01,10,-,carb,2
C5,1x diff 2x bxb1,15,0.01,10,-,carb,3
D5,1x diff 2x bxb1,15,0.01,10,-,carb,4
E5,1x diff 2x bxb1,15,0.01,10,-,carb,5
F5,1x diff 2x bxb1,15,0.01,10,-,carb,6
G5,1x diff 2x bxb1,15,0.01,10,-,carb,7
H5,1x diff 2x bxb1,15,0.01,10,-,carb,8
A7,1x diff 2x bxb1,15,0.01,50,-,carb,1
B7,1x diff 2x bxb1,15,0.01,50,-,carb,2
C7,1x diff 2x bxb1,15,0.01,50,-,carb,3
D7,1x diff 2x bxb1,15,0.01,50,-,carb,4
E7,1x diff 2x bxb1,15,0.01,50,-,carb,5
F7,1x diff 2x bxb1,15,0.01,50,-,carb,6
G7,1x diff 2x bxb1,15,0.01,50,-,carb,7
H7,1x diff 2x bxb1,15,0.01,50,-,carb,8
A9,1x diff 2x bxb1,20,0.01,10,-,carb,1
B9,1x diff 2x bxb1,20,0.01,10,-,carb,2
C9,1x diff 2x bxb1,20,0.01,10,-,carb,3
D9,1x diff 2x bxb1,20,0.01,10,-,carb,4
E9,1x diff 2x bxb1,20,0.01,10,-,carb,5
F9,1x diff 2x bxb1,20,0.01,10,-,carb,6
G9,1x diff 2x bxb1,20,0.01,10,-,carb,7
H9,1x diff 2x bxb1,20,0.01,10,-,carb,8
A11,1x diff 2x bxb1,20,0.01,50,-,carb,1
B11,1x diff 2x bxb1,20,0.01,50,-,carb,2
C11,1x diff 2x bxb1,20,0.01,50,-,carb,3
D11,1x diff 2x bxb1,20,0.01,50,-,carb,4
E11,1x diff 2x bxb1,20,0.01,50,-,carb,5
F11,1x diff 2x bxb1,20,0.01,50,-,carb,6
G11,1x diff 2x bxb1,20,0.01,50,-,carb,7
H11,1x diff 2x bxb1,20,0.01,50,-,carb,8
A13,1x diff 2x bxb1,30,0.01,10,-,carb,1
B13,1x diff 2x bxb1,30,0.01,10,-,carb,2
C13,1x diff 2x bxb1,30,0.01,10,-,carb,3
D13,1x diff 2x bxb1,30,0.01,10,-,carb,4
E13,1x diff 2x bxb1,30,0.01,10,-,carb,5
F13,1x diff 2x bxb1,30,0.01,10,-,carb,6
G13,1x diff 2x bxb1,30,0.01,10,-,carb,7
H13,1x diff 2x bxb1,30,0.01,10,-,carb,8
A15,1x diff 2x bxb1,30,0.01,50,-,carb,1
B15,1x diff 2x bxb1,30,0.01,50,-,carb,2
C15,1x diff 2x bxb1,30,0.01,50,-,carb,3
D15,1x diff 2x bxb1,30,0.01,50,-,carb,4
E15,1x diff 2x bxb1,30,0.01,50,-,carb,5
F15,1x diff 2x bxb1,30,0.01,50,-,carb,6
G15,1x diff 2x bxb1,30,0.01,50,-,carb,7
H15,1x diff 2x bxb1,30,0.01,50,-,carb,8
A17,1x diff 2x bxb1,10,0.01,10,+,carb,1
B17,1x diff 2x bxb1,10,0.01,10,+,carb,2
C17,1x diff 2x bxb1,10,0.01,10,+,carb,3
D17,1x diff 2x bxb1,10,0.01,10,+,carb,4
E17,1x diff 2x bxb1,10,0.01,10,+,carb,5
F17,1x diff 2x bxb1,10,0.01,10,+,carb,6
G17,1x diff 2x bxb1,10,0.01,10,+,carb,7
H17,1x diff 2x bxb1,10,0.01,10,+,carb,8
A19,1x diff 2x bxb1,10,0.01,50,+,carb,1
B19,1x diff 2x bxb1,10,0.01,50,+,carb,2
C19,1x diff 2x bxb1,10,0.01,50,+,carb,3
D19,1x diff 2x bxb1,10,0.01,50,+,carb,4
E19,1x diff 2x bxb1,10,0.01,50,+,carb,5
F19,1x diff 2x bxb1,10,0.01,50,+,carb,6
G19,1x diff 2x bxb1,10,0.01,50,+,carb,7
H19,1x diff 2x bxb1,10,0.01,50,+,carb,8
A21,1x diff 2x bxb1,15,0.01,10,+,carb,1
B21,1x diff 2x bxb1,15,0.01,10,+,carb,2
C21,1x diff 2x bxb1,15,0.01,10,+,carb,3
D21,1x diff 2x bxb1,15,0.01,10,+,carb,4
E21,1x diff 2x bxb1,15,0.01,10,+,carb,5
F21,1x diff 2x bxb1,15,0.01,10,+,carb,6
G21,1x diff 2x bxb1,15,0.01,10,+,carb,7
H21,1x diff 2x bxb1,15,0.01,10,+,carb,8
A23,1x diff 2x bxb1,15,0.01,50,+,carb,1
B23,1x diff 2x bxb1,15,0.01,50,+,carb,2
C23,1x diff 2x bxb1,15,0.01,50,+,carb,3
D23,1x diff 2x bxb1,15,0.01,50,+,carb,4
E23,1x diff 2x bxb1,15,0.01,50,+,carb,5
F23,1x diff 2x bxb1,15,0.01,50,+,carb,6
G23,1x diff 2x bxb1,15,0.01,50,+,carb,7
H23,1x diff 2x bxb1,15,0.01,50,+,carb,8
I1,split pir 2x bxb1,10,0.01,10,-,carb,1
J1,split pir 2x bxb1,10,0.01,10,-,carb,2
K1,split pir 2x bxb1,10,0.01,10,-,carb,3
L1,split pir 2x bxb1,10,0.01,10,-,carb,4
M1,split pir 2x bxb1,10,0.01,10,-,carb,5
N1,split pir 2x bxb1,10,0.01,10,-,carb,6
O1,split pir 2x bxb1,10,0.01,10,-,carb,7
P1,split pir 2x bxb1,10,0.01,10,-,carb,8
I3,split pir 2x bxb1,10,0.01,50,-,carb,1
J3,split pir 2x bxb1,10,0.01,50,-,carb,2
K3,split pir 2x bxb1,10,0.01,50,-,carb,3
L3,split pir 2x bxb1,10,0.01,50,-,carb,4
M3,split pir 2x bxb1,10,0.01,50,-,carb,5
N3,split pir 2x bxb1,10,0.01,50,-,carb,6
O3,split pir 2x bxb1,10,0.01,50,-,carb,7
P3,split pir 2x bxb1,10,0.01,50,-,carb,8
I5,split pir 2x bxb1,15,0.01,10,-,carb,1
J5,split pir 2x bxb1,15,0.01,10,-,carb,2
K5,split pir 2x bxb1,15,0.01,10,-,carb,3
L5,split pir 2x bxb1,15,0.01,10,-,carb,4
M5,split pir 2x bxb1,15,0.01,10,-,carb,5
N5,split pir 2x bxb1,15,0.01,10,-,carb,6
O5,split pir 2x bxb1,15,0.01,10,-,carb,7
P5,split pir 2x bxb1,15,0.01,10,-,carb,8
I7,split pir 2x bxb1,15,0.01,50,-,carb,1
