Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,cole1,carb,sal,rep,ChanStr
sfGFP,61,444,0.12333333333333334,D8,111,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP,+,100,2,sfGFP61485515
sfGFP,61,444,0.12333333333333334,D9,114,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP,+,100,3,sfGFP61485515
sfGFP,61,444,0.12333333333333334,D10,113,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,100,1,sfGFP61485515
sfGFP,61,444,0.12333333333333334,D11,118,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,100,2,sfGFP61485515
sfGFP,61,444,0.12333333333333334,D12,108,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,100,3,sfGFP61485515
sfGFP,61,444,0.12333333333333334,E1,116,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP,+,0,1,sfGFP61485515
sfGFP,61,444,0.12333333333333334,E2,116,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP,+,0,2,sfGFP61485515
sfGFP,61,444,0.12333333333333334,E3,125,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP,+,0,3,sfGFP61485515
sfGFP,61,444,0.12333333333333334,E4,114,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,0,1,sfGFP61485515
sfGFP,61,444,0.12333333333333334,E5,109,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,0,2,sfGFP61485515
sfGFP,61,444,0.12333333333333334,E6,112,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,0,3,sfGFP61485515
sfGFP,61,444,0.12333333333333334,E7,114,AFU,485,515,JS006,pT7 GFP,+,0,1,sfGFP61485515
sfGFP,61,444,0.12333333333333334,E8,117,AFU,485,515,JS006,pT7 GFP,+,0,2,sfGFP61485515
sfGFP,61,444,0.12333333333333334,E9,120,AFU,485,515,JS006,pT7 GFP,+,0,3,sfGFP61485515
sfGFP,61,444,0.12333333333333334,E10,109,AFU,485,515,JS006,pT7 GFP/pSal Bxb1,+,0,1,sfGFP61485515
sfGFP,61,444,0.12333333333333334,E11,110,AFU,485,515,JS006,pT7 GFP/pSal Bxb1,+,0,2,sfGFP61485515
sfGFP,61,444,0.12333333333333334,E12,114,AFU,485,515,JS006,pT7 GFP/pSal Bxb1,+,0,3,sfGFP61485515
sfGFP,61,444,0.12333333333333334,F1,119,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP,+,100,1,sfGFP61485515
sfGFP,61,444,0.12333333333333334,F2,107,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP,+,100,2,sfGFP61485515
sfGFP,61,444,0.12333333333333334,F3,123,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP,+,100,3,sfGFP61485515
sfGFP,61,444,0.12333333333333334,F4,117,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,100,1,sfGFP61485515
sfGFP,61,444,0.12333333333333334,F5,107,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,100,2,sfGFP61485515
sfGFP,61,444,0.12333333333333334,F6,115,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,100,3,sfGFP61485515
sfGFP,61,444,0.12333333333333334,F7,111,AFU,485,515,JS006,pT7 GFP,+,100,1,sfGFP61485515
sfGFP,61,444,0.12333333333333334,F8,109,AFU,485,515,JS006,pT7 GFP,+,100,2,sfGFP61485515
sfGFP,61,444,0.12333333333333334,F9,111,AFU,485,515,JS006,pT7 GFP,+,100,3,sfGFP61485515
sfGFP,61,444,0.12333333333333334,F10,111,AFU,485,515,JS006,pT7 GFP/pSal Bxb1,+,100,1,sfGFP61485515
sfGFP,61,444,0.12333333333333334,F11,117,AFU,485,515,JS006,pT7 GFP/pSal Bxb1,+,100,2,sfGFP61485515
sfGFP,61,444,0.12333333333333334,F12,110,AFU,485,515,JS006,pT7 GFP/pSal Bxb1,+,100,3,sfGFP61485515
sfGFP,61,1044,0.29,A1,115,AFU,485,515,diff split T7RNAP,pT7 GFP,+,0,1,sfGFP61485515
sfGFP,61,1044,0.29,A2,122,AFU,485,515,diff split T7RNAP,pT7 GFP,+,0,2,sfGFP61485515
sfGFP,61,1044,0.29,A3,111,AFU,485,515,diff split T7RNAP,pT7 GFP,+,0,3,sfGFP61485515
sfGFP,61,1044,0.29,A4,120,AFU,485,515,diff split T7RNAP,pT7 GFP/pSal Bxb1,+,0,1,sfGFP61485515
sfGFP,61,1044,0.29,A5,113,AFU,485,515,diff split T7RNAP,pT7 GFP/pSal Bxb1,+,0,2,sfGFP61485515
sfGFP,61,1044,0.29,A6,112,AFU,485,515,diff split T7RNAP,pT7 GFP/pSal Bxb1,+,0,3,sfGFP61485515
sfGFP,61,1044,0.29,A7,114,AFU,485,515,diff FL T7RNAP 1,pT7 GFP,+,0,1,sfGFP61485515
sfGFP,61,1044,0.29,A8,114,AFU,485,515,diff FL T7RNAP 1,pT7 GFP,+,0,2,sfGFP61485515
sfGFP,61,1044,0.29,A9,112,AFU,485,515,diff FL T7RNAP 1,pT7 GFP,+,0,3,sfGFP61485515
sfGFP,61,1044,0.29,A10,103,AFU,485,515,diff FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,0,1,sfGFP61485515
sfGFP,61,1044,0.29,A11,111,AFU,485,515,diff FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,0,2,sfGFP61485515
sfGFP,61,1044,0.29,A12,111,AFU,485,515,diff FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,0,3,sfGFP61485515
sfGFP,61,1044,0.29,B1,113,AFU,485,515,diff split T7RNAP,pT7 GFP,+,100,1,sfGFP61485515
sfGFP,61,1044,0.29,B2,110,AFU,485,515,diff split T7RNAP,pT7 GFP,+,100,2,sfGFP61485515
