channel,mode,excitation,emission,num_flashes,gain,time_sec,time_h,well,measurement,strain,chlor,sal,iptg,rep
OD700,Absorbance,700,-1,20,-1,0.0,0.0,F4,0.073200002,diff2X,+,10,10,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,F5,0.073100001,diff2X,+,10,10,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,F6,0.076300003,diff2X,+,10,10,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,F7,0.072400004,diff1X,+,10,50,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,F8,0.0766,diff1X,+,10,50,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,F9,0.072499998,diff1X,+,10,50,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,F10,0.072899997,diff2X,+,10,50,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,F11,0.073299997,diff2X,+,10,50,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,F12,0.072099999,diff2X,+,10,50,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,G1,0.072099999,diff1X,+,20,10,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,G2,0.073299997,diff1X,+,20,10,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,G3,0.071699999,diff1X,+,20,10,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,G4,0.0726,diff2X,+,20,10,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,G5,0.072300002,diff2X,+,20,10,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,G6,0.073200002,diff2X,+,20,10,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,G7,0.072300002,diff1X,+,20,50,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,G8,0.074299999,diff1X,+,20,50,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,G9,0.072300002,diff1X,+,20,50,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,G10,0.072400004,diff2X,+,20,50,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,G11,0.072099999,diff2X,+,20,50,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,G12,0.072300002,diff2X,+,20,50,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,H1,0.072099999,diff1X,+,30,10,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,H2,0.0801,diff1X,+,30,10,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,H3,0.072499998,diff1X,+,30,10,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,H4,0.073700003,diff2X,+,30,10,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,H5,0.0735,diff2X,+,30,10,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,H6,0.072800003,diff2X,+,30,10,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,H7,0.071900003,diff1X,+,30,50,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,H8,0.0722,diff1X,+,30,50,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,H9,0.071999997,diff1X,+,30,50,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,H10,0.073200002,diff2X,+,30,50,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,H11,0.071500003,diff2X,+,30,50,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,H12,0.072099999,diff2X,+,30,50,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,A1,254.0,diff1X,-,0,10,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,A2,330.0,diff1X,-,0,10,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,A3,245.0,diff1X,-,0,10,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,A4,269.0,diff2X,-,0,10,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,A5,262.0,diff2X,-,0,10,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,A6,251.0,diff2X,-,0,10,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,A7,231.0,diff1X,-,0,50,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,A8,265.0,diff1X,-,0,50,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,A9,242.0,diff1X,-,0,50,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,A10,252.0,diff2X,-,0,50,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,A11,241.0,diff2X,-,0,50,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,A12,261.0,diff2X,-,0,50,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,B1,301.0,diff1X,-,10,10,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,B2,267.0,diff1X,-,10,10,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,B3,293.0,diff1X,-,10,10,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,B4,240.0,diff2X,-,10,10,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,B5,253.0,diff2X,-,10,10,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,B6,237.0,diff2X,-,10,10,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,B7,261.0,diff1X,-,10,50,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,B8,245.0,diff1X,-,10,50,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,B9,254.0,diff1X,-,10,50,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,B10,237.0,diff2X,-,10,50,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,B11,255.0,diff2X,-,10,50,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,B12,261.0,diff2X,-,10,50,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,C1,273.0,diff1X,-,20,10,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,C2,270.0,diff1X,-,20,10,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,C3,272.0,diff1X,-,20,10,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,C4,262.0,diff2X,-,20,10,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,C5,217.0,diff2X,-,20,10,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,C6,247.0,diff2X,-,20,10,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,C7,249.0,diff1X,-,20,50,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,C8,246.0,diff1X,-,20,50,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,C9,230.0,diff1X,-,20,50,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,C10,230.0,diff2X,-,20,50,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,C11,240.0,diff2X,-,20,50,2
